Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1767119726.238205,-2.952756,1750.465408,1750.462648,-0.262223,1750.462716,-50.000000,0.000068,-49.737777,motion control,
1767119726.350350,-2.952756,1750.499282,1750.499066,-0.020168,1750.462716,-50.000000,-0.036349,-49.979832,motion control,
1767119726.462580,-4.145609,1750.329910,1750.314992,-1.351737,1750.315219,-50.000000,0.000227,-48.648263,motion control,
1767119726.574842,-6.539887,1748.703933,1748.578570,-11.054756,1748.580460,-50.000000,0.001890,-38.945244,motion control,
1767119726.687054,-8.734191,1747.281203,1747.119771,-13.935776,1747.122140,-50.000000,0.002369,-36.064224,motion control,
1767119726.799382,-10.821777,1746.095596,1745.950229,-12.104884,1745.952711,-50.000000,0.002482,-37.895116,motion control,
1767119726.911544,-12.836377,1744.334121,1744.168883,-13.883101,1744.171534,-50.000000,0.002651,-36.116899,motion control,
1767119727.023750,-14.760836,1742.233901,1742.011379,-17.831980,1742.014640,-50.000000,0.003261,-32.168020,motion control,
1767119727.135989,-16.592743,1740.269179,1740.031750,-18.566529,1740.034795,-50.000000,0.003046,-31.433471,motion control,
1767119727.248215,-18.314624,1738.101211,1737.852849,-19.005424,1737.856292,-50.000000,0.003444,-30.994576,motion control,
1767119727.360403,-20.001265,1735.763869,1735.496754,-20.107753,1735.499995,-50.000000,0.003241,-29.892247,motion control,
1767119727.472646,-21.698965,1733.528152,1733.250112,-20.397756,1733.253478,-50.000000,0.003365,-29.602244,motion control,
1767119727.584894,-23.301603,1731.021438,1730.718326,-21.859751,1730.721870,-50.000000,0.003544,-28.140249,motion control,
1767119727.697190,-27.549430,1728.514724,1728.207549,-22.238070,1728.211732,-54.315715,0.004183,-32.077645,motion control,
1767119727.809442,-32.671200,1726.008010,1725.680806,-22.418846,1725.684435,-58.784830,0.003629,-36.365984,motion control,
1767119727.921675,-38.413523,1722.925429,1722.536657,-26.087140,1722.540775,-63.909220,0.004117,-37.822080,motion control,
1767119728.033898,-44.264424,1719.571853,1719.125563,-29.394121,1719.130349,-69.039651,0.004787,-39.645530,motion control,
1767119728.146223,-50.307217,1715.879531,1715.377861,-32.399035,1715.383631,-74.268547,0.005770,-41.869511,motion control,
1767119728.258619,-56.931447,1711.645217,1711.053509,-37.023571,1711.060059,-79.878229,0.006550,-42.854658,motion control,
1767119728.370877,-63.892823,1706.394667,1706.381634,-40.980866,1706.388356,-85.527026,0.006722,-44.546160,motion control,
1767119728.483112,-70.970692,1701.381240,1701.355075,-44.037895,1701.362614,-91.214147,0.007539,-47.176252,motion control,
1767119728.595342,-78.376760,1695.791945,1695.749246,-48.468712,1695.757382,-97.165153,0.008135,-48.696440,motion control,
1767119728.707608,-85.945731,1689.796157,1689.732246,-52.861470,1689.742669,-103.169809,0.010423,-50.308339,motion control,
1767119728.819819,-92.333754,1682.005019,1681.905809,-65.747364,1681.916594,-110.495360,0.010785,-44.747996,motion control,
1767119728.932079,-98.591838,1672.554030,1672.407068,-80.829098,1672.422755,-118.777070,0.015687,-37.947972,motion control,
1767119729.044413,-100.000000,1660.935072,1660.717931,-98.973966,1660.735440,-128.239835,0.017509,-29.265870,motion control,
1767119729.156654,-100.000000,1647.622389,1647.332078,-115.155274,1647.354207,-138.281242,0.022129,-23.125968,motion control,
1767119729.268852,-100.000000,1633.970961,1633.635926,-121.078736,1633.655671,-147.856042,0.019745,-26.777305,motion control,
1767119729.381112,-100.000000,1620.488905,1620.133688,-120.541007,1620.156105,-156.720523,0.022417,-36.179516,motion control,
1767119729.493324,-100.000000,1606.905226,1606.501337,-120.812573,1606.520318,-165.192250,0.018982,-44.379678,motion control,
1767119729.605545,-100.000000,1593.253797,1592.813734,-121.800159,1592.832610,-173.280182,0.018876,-51.480023,motion control,
1767119729.717809,-100.000000,1579.670118,1579.189332,-121.685079,1579.209292,-180.971503,0.019960,-59.286425,motion control,
1767119729.830068,-100.000000,1566.289686,1565.774246,-120.092796,1565.796579,-188.237157,0.022333,-68.144361,motion control,
1767119729.942331,-100.000000,1552.672132,1552.113639,-120.908911,1552.133241,-195.360935,0.019602,-74.452024,motion control,
1767119730.054551,-100.000000,1538.986829,1538.393521,-122.051866,1538.411853,-202.262633,0.018333,-80.210767,motion control,
1767119730.166797,-100.000000,1525.369275,1524.738567,-121.974518,1524.757935,-208.904180,0.019368,-86.929661,motion control,
1767119730.279044,-100.000000,1511.921094,1511.258487,-120.676249,1511.280555,-215.258989,0.022068,-94.582740,motion control,
1767119730.391344,-100.000000,1498.201917,1497.490644,-121.796991,1497.510855,-221.563473,0.020211,-99.766481,motion control,
1767119730.503567,-100.000000,1484.414990,1483.667238,-123.127426,1483.686818,-227.717324,0.019580,-104.589898,motion control,
1767119730.615831,-100.000000,1470.932935,1470.150228,-121.499231,1470.169665,-233.577846,0.019437,-112.078615,motion control,
1767119730.728133,-100.000000,1457.213757,1456.383477,-122.028377,1456.408760,-239.396724,0.025283,-117.368346,motion control,
1767119730.840363,-100.000000,1443.562329,1442.691345,-122.330962,1442.714095,-245.050453,0.022749,-122.719491,motion control,
1767119730.952623,-100.000000,1429.877026,1428.965856,-122.502978,1428.990974,-250.000000,0.025118,-127.497022,motion control,
1767119731.064859,-100.000000,1416.327221,1415.391106,-121.258541,1415.414870,-250.000000,0.023764,-128.741459,motion control,
1767119731.177084,-100.000000,1402.608044,1401.672630,-121.543094,1401.699377,-250.000000,0.026747,-128.456906,motion control,
1767119731.289360,-100.000000,1388.888867,1387.864517,-122.779816,1387.891389,-250.000000,0.026873,-127.220184,motion control,
1767119731.403148,-100.000000,1375.169689,1373.928064,-122.835983,1373.960132,-250.000000,0.032069,-127.164017,motion control,
1767119731.515414,-100.000000,1361.619884,1360.341739,-121.521722,1360.368104,-250.000000,0.026365,-128.478278,motion control,
1767119731.627644,-100.000000,1347.934582,1346.618711,-121.951561,1346.646652,-250.000000,0.027942,-128.048439,motion control,
1767119731.739935,-100.000000,1334.215404,1332.846014,-122.661794,1332.873475,-250.000000,0.027461,-127.338206,motion control,
1767119731.852205,-100.000000,1320.496227,1319.090281,-122.534294,1319.119817,-250.000000,0.029536,-127.465706,motion control,
1767119731.964390,-100.000000,1306.878673,1305.448810,-121.938048,1305.473086,-250.000000,0.024275,-128.061952,motion control,
1767119732.076625,-100.000000,1293.227245,1291.766233,-122.014335,1291.790640,-250.000000,0.024407,-127.985665,motion control,
1767119732.188829,-100.000000,1279.372569,1277.855838,-123.392667,1277.881256,-250.000000,0.025418,-126.607333,motion control,
1767119732.301057,-100.000000,1265.653392,1264.112646,-122.788468,1264.138174,-250.000000,0.025528,-127.211532,motion control,
1767119732.413295,-100.000000,1252.103587,1250.537277,-121.523905,1250.568018,-250.000000,0.030741,-128.476095,motion control,
1767119732.525574,-100.000000,1238.452159,1236.841812,-122.079320,1236.875284,-250.000000,0.033472,-127.920680,motion control,
1767119732.637802,-100.000000,1224.631358,1222.971458,-123.264889,1223.000788,-250.000000,0.029330,-126.735111,motion control,
1767119732.749964,-100.000000,1211.149302,1209.487941,-121.231289,1209.514243,-250.000000,0.026302,-128.768711,motion control,
1767119732.862307,-100.000000,1197.463999,1195.746803,-121.691669,1195.781358,-250.000000,0.034555,-128.308331,motion control,
1767119732.974517,-100.000000,1183.643198,1181.870621,-123.215997,1181.901554,-250.000000,0.030934,-126.784003,motion control,
1767119733.086708,-100.000000,1169.957895,1168.170550,-122.428577,1168.200294,-250.000000,0.029744,-127.571423,motion control,
1767119733.199007,-100.000000,1156.509714,1154.717914,-120.336174,1154.747494,-250.000000,0.029580,-129.663826,motion control,
1767119733.311276,-100.000000,1142.790537,1140.955846,-121.639017,1140.986762,-250.000000,0.030915,-128.360983,motion control,
1767119733.423589,-100.000000,1129.172983,1127.258954,-121.998971,1127.288332,-250.000000,0.029378,-128.001029,motion control,
1767119733.536135,-100.000000,1115.487680,1113.497582,-121.977975,1113.528700,-250.000000,0.031118,-128.022025,motion control,
1767119733.648411,-100.000000,1100.040903,1099.965843,-120.853616,1099.992438,-250.000000,0.026595,-129.146384,motion control,
1767119733.760579,-100.000000,1086.220102,1086.122135,-122.620525,1086.146166,-250.000000,0.024031,-127.379475,motion control,
1767119733.872788,-100.000000,1072.433175,1072.297035,-123.329382,1072.321675,-250.000000,0.024641,-126.670618,motion control,
1767119733.985003,-100.000000,1058.747873,1058.575535,-122.576832,1058.600171,-250.000000,0.024636,-127.423168,motion control,
1767119734.097253,-100.000000,1044.994821,1044.793651,-122.515980,1044.820612,-250.000000,0.026961,-127.484020,motion control,
1767119734.209474,-100.000000,1031.174020,1030.929751,-123.126699,1030.954380,-250.000000,0.024629,-126.873301,motion control,
1767119734.321712,-100.000000,1017.387093,1017.110460,-122.937475,1017.136283,-250.000000,0.025823,-127.062525,motion control,
1767119734.433941,-100.000000,1003.769540,1003.454456,-121.982418,1003.479583,-250.000000,0.025128,-128.017582,motion control,
1767119734.546187,-100.000000,990.084237,989.752244,-121.922819,989.777853,-248.428416,0.025609,-126.505597,motion control,
1767119734.658369,-100.000000,976.263436,975.879354,-122.983248,975.903954,-244.203999,0.024601,-121.220751,motion control,
1767119734.770625,-100.000000,962.476509,962.057155,-122.982738,962.083339,-239.921864,0.026184,-116.939127,motion control,
1767119734.882820,-100.000000,948.892830,948.444122,-121.797754,948.464710,-235.626201,0.020589,-113.828447,motion control,
1767119734.995025,-100.000000,935.173653,934.691449,-122.294752,934.710897,-231.206908,0.019448,-108.912157,motion control,
1767119735.107263,-100.000000,921.318977,920.793722,-123.560352,920.812752,-226.653729,0.019031,-103.093377,motion control,
1767119735.219476,-100.000000,907.599800,907.043829,-123.244723,907.063428,-222.057457,0.019599,-98.812734,motion control,
1767119735.331661,-100.000000,893.948372,893.365911,-122.420122,893.384766,-217.388397,0.018855,-94.968274,motion control,
1767119735.443877,-100.000000,880.161445,879.540734,-122.984188,879.560057,-212.565304,0.019323,-89.581116,motion control,
1767119735.556122,-100.000000,866.239021,865.581520,-123.916399,865.605303,-207.583225,0.023783,-83.666826,motion control,
1767119735.668336,-100.000000,852.553718,851.864410,-122.892360,851.883338,-202.564806,0.018928,-79.672446,motion control,
1767119735.780534,-100.000000,838.800666,838.084451,-122.868933,838.103991,-197.397058,0.019539,-74.528125,motion control,
1767119735.892753,-100.000000,825.081489,824.328444,-122.985001,824.348500,-192.099649,0.020056,-69.114647,motion control,
1767119736.004997,-100.000000,811.192939,810.398008,-123.685132,810.420272,-186.582531,0.022264,-62.897399,motion control,
1767119736.117212,-100.000000,797.609260,796.795661,-122.105416,796.818368,-181.032470,0.022708,-58.927054,motion control,
1767119736.229424,-100.000000,783.856208,783.034285,-122.126731,783.053095,-175.236880,0.018810,-53.110149,motion control,
1767119736.341644,-100.000000,769.967658,769.110044,-123.310514,769.129272,-169.172666,0.019227,-45.862152,motion control,
1767119736.453858,-100.000000,756.316229,755.391869,-122.462787,755.411606,-162.977731,0.019737,-40.514945,motion control,
1767119736.566346,-100.000000,742.732550,741.751340,-121.300778,741.771700,-156.575078,0.020360,-35.274300,motion control,
1767119736.678713,-100.000000,728.945624,727.905019,-122.426128,727.925568,-149.795978,0.020549,-27.369850,motion control,
1767119736.791053,-99.961296,715.124823,714.024933,-123.280264,714.047360,-142.678323,0.022426,-19.398059,motion control,
1767119736.903336,-98.761718,701.439520,700.312130,-122.569669,700.333580,-135.277629,0.021450,-12.707960,motion control,
1767119737.015570,-97.034663,687.754217,686.584717,-122.435057,686.606494,-127.440080,0.021776,-5.005024,motion control,
1767119737.127777,-94.697974,674.068914,672.869848,-122.539040,672.889949,-119.094468,0.020100,3.444572,motion control,
1767119737.240038,-89.980255,660.315862,659.074189,-122.829125,659.094790,-110.064611,0.020601,12.764515,motion control,
1767119737.352276,-83.498555,646.935430,645.683841,-120.391417,645.704536,-100.527013,0.020695,19.864404,motion control,
1767119737.464475,-74.047448,633.893743,632.643886,-117.193045,632.662411,-90.273815,0.018525,26.919230,motion control,
1767119737.576708,-64.681013,622.545782,621.403693,-104.233642,621.420145,-80.392921,0.016452,23.840721,motion control,
1767119737.688935,-57.696710,614.009405,613.092981,-81.518452,613.105847,-72.221030,0.012866,9.297422,motion control,
1767119737.801211,-52.344102,607.268377,606.531949,-63.440696,606.543369,-65.050022,0.011420,-1.609326,motion control,
1767119737.913414,-47.576165,601.475835,600.849353,-52.921434,600.857504,-58.125946,0.008151,-5.204513,motion control,
1767119738.025659,-42.493785,595.954290,595.357983,-49.423786,595.365796,-50.545715,0.007812,-1.121929,motion control,
1767119738.137866,-42.550196,590.669866,590.079993,-47.558810,590.087692,-50.000000,0.007699,-2.441190,motion control,
1767119738.250108,-42.799064,585.825811,585.266023,-44.276103,585.274257,-50.000000,0.008234,-5.723897,motion control,
1767119738.362349,-43.170961,581.049504,580.491055,-42.908057,580.498778,-50.000000,0.007724,-7.091943,motion control,
1767119738.475245,-43.559877,576.171575,575.567710,-43.347445,575.576071,-50.000000,0.008361,-6.652555,motion control,
1767119738.587448,-43.925872,571.327519,570.709869,-43.307560,570.718315,-50.000000,0.008446,-6.692440,motion control,
1767119738.699693,-44.282330,566.449590,565.823729,-43.246280,565.833504,-50.000000,0.009775,-6.753720,motion control,
1767119738.811812,-44.632239,561.537785,560.898862,-43.449591,560.905460,-50.000000,0.006599,-6.550409,motion control,
1767119738.924051,-45.013441,556.795354,556.159092,-42.426591,556.165748,-50.000000,0.006656,-7.573409,motion control,
1767119739.036327,-45.430362,551.985173,551.332701,-42.584077,551.340448,-50.000000,0.007747,-7.415923,motion control,
1767119739.148554,-45.840131,547.276616,546.617532,-42.073538,546.625015,-50.000000,0.007483,-7.926462,motion control,
1767119739.260879,-46.227141,542.297063,541.602662,-43.517323,541.610931,-50.000000,0.008269,-6.482677,motion control,
1767119739.373078,-46.594380,536.741643,536.728625,-43.680748,536.737279,-50.000000,0.008654,-6.319252,motion control,
1767119739.485334,-46.956396,531.863713,531.836487,-43.701981,531.844531,-50.000000,0.008044,-6.298019,motion control,
