Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1767120082.945216,0.000000,517.839665,517.840550,0.106059,520.000000,0.000000,2.159450,-0.106059,monitor,
1767120083.057434,0.000000,517.873539,517.876553,0.352894,520.000000,0.000000,2.123447,-0.352894,monitor,
1767120083.169681,0.000000,517.805790,517.803903,-0.211595,520.000000,0.000000,2.196097,0.211595,monitor,
1767120083.281920,0.000000,517.805790,517.803992,-0.194226,520.000000,0.000000,2.196008,0.194226,monitor,
1767120083.394230,0.000000,517.839665,517.841689,0.211522,520.000000,0.000000,2.158311,-0.211522,monitor,
1767120083.506426,0.000000,517.771916,517.769140,-0.282044,520.000000,0.000000,2.230860,0.282044,monitor,
1767120083.618648,0.000000,517.805790,517.805600,-0.019340,520.000000,0.000000,2.194400,0.019340,monitor,
1767120083.730922,0.000000,517.771916,517.770025,-0.181257,520.000000,0.000000,2.229975,0.181257,monitor,
1767120083.843171,0.000000,517.805790,517.806842,0.100245,520.000000,0.000000,2.193158,-0.100245,monitor,
1767120083.955438,0.000000,517.839665,517.843458,0.342517,520.000000,0.000000,2.156542,-0.342517,monitor,
1767120084.067735,0.000000,517.805790,517.805793,0.000201,520.000000,0.000000,2.194207,-0.000201,monitor,
1767120084.179958,0.000000,517.771916,517.768350,-0.302572,520.000000,0.000000,2.231650,0.302572,monitor,
1767120084.292251,0.000000,517.771916,517.769105,-0.241548,520.000000,0.000000,2.230895,0.241548,monitor,
1767120084.404547,0.000000,517.771916,517.769744,-0.181359,520.000000,0.000000,2.230256,0.181359,monitor,
1767120084.516751,0.000000,517.771916,517.770369,-0.121631,520.000000,0.000000,2.229631,0.121631,monitor,
1767120084.629126,0.000000,517.805790,517.807385,0.120914,520.000000,0.000000,2.192615,-0.120914,monitor,
1767120084.741425,0.000000,517.771916,517.769728,-0.161441,520.000000,0.000000,2.230272,0.161441,monitor,
1767120084.853734,0.000000,517.771916,517.770798,-0.080637,520.000000,0.000000,2.229202,0.080637,monitor,
1767120084.966127,7.360000,517.771916,517.770179,-0.120936,517.808617,40.000000,0.038438,40.120936,motion control,
1767120085.078347,7.360000,517.771916,517.769267,-0.181361,517.808617,40.000000,0.039350,40.181361,motion control,
1767120085.190644,7.372859,517.839665,517.845988,0.423729,517.845921,40.069884,-0.000067,39.646156,motion control,
1767120085.302926,7.398944,517.907414,517.921943,0.948395,517.921796,40.211652,-0.000147,39.263257,motion control,
1767120085.415241,8.094968,519.838261,520.047257,13.316799,520.045326,43.994392,-0.001930,30.677593,motion control,
1767120085.527533,8.970924,522.615971,522.993121,23.502801,522.988963,48.755020,-0.004158,25.252219,motion control,
1767120085.639811,9.984950,526.782536,526.793187,31.885271,526.787447,54.284662,-0.005740,22.399392,motion control,
1767120085.752071,11.054866,531.220097,531.248599,38.464216,531.241905,60.124814,-0.006695,21.660598,motion control,
1767120085.864350,12.185126,536.402898,536.449055,44.598030,536.441559,66.294354,-0.007496,21.696324,motion control,
1767120085.976578,13.335509,542.195439,542.263090,50.372552,542.254935,72.573741,-0.008155,22.201189,motion control,
1767120086.088896,14.474026,548.597722,548.692295,56.026719,548.682664,78.937362,-0.009631,22.910643,motion control,
1767120086.201185,15.612434,555.643620,555.770573,61.658026,555.758240,85.395805,-0.012334,23.737778,motion control,
1767120086.313376,16.738901,563.163762,563.317517,66.048421,563.307030,91.786502,-0.010488,25.738081,motion control,
1767120086.425627,18.006617,571.666265,571.859963,73.483325,571.849013,98.519336,-0.010950,25.036011,motion control,
1767120086.537876,19.461560,580.643010,580.876110,79.178032,580.863594,105.158198,-0.012516,25.980166,motion control,
1767120086.650127,20.957682,590.500493,590.777879,85.989674,590.764122,111.996991,-0.013757,26.007317,motion control,
1767120086.763492,22.485102,601.137090,601.571889,93.187511,601.555870,119.004571,-0.016019,25.817061,motion control,
1767120086.875712,24.012526,612.518926,613.011319,100.162248,612.993791,126.007048,-0.017528,25.844800,motion control,
1767120086.988067,25.559819,624.815374,625.393166,107.876107,625.369633,133.169638,-0.023533,25.293531,motion control,
1767120087.100376,27.124714,638.094183,638.756209,116.205924,638.735291,140.495556,-0.020918,24.289632,motion control,
