Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1767119996.337534,7.360000,1959.911515,1959.910843,-0.060046,1959.910859,40.000000,0.000016,40.060046,motion control,
1767119996.449650,7.372849,1959.945390,1959.948170,0.241990,1959.948134,40.069831,-0.000036,39.827841,motion control,
1767119996.561871,7.360000,1959.911515,1959.910085,-0.121125,1959.910859,40.000000,0.000774,40.121125,motion control,
1767119996.674144,7.360000,1959.911515,1959.910296,-0.100742,1959.910859,40.000000,0.000562,40.100742,motion control,
1767119996.786333,7.360000,1959.911515,1959.910766,-0.060493,1959.910859,40.000000,0.000093,40.060493,motion control,
1767119996.898823,7.475007,1960.216386,1960.247208,2.381052,1960.246816,40.625036,-0.000393,38.243984,motion control,
1767119997.011027,8.941381,1964.586198,1964.991796,30.687680,1964.987004,48.594462,-0.004792,17.906782,motion control,
1767119997.123376,9.722199,1967.465531,1967.870375,29.776506,1967.865313,52.850431,-0.005062,23.073925,motion control,
1767119997.236025,11.115114,1972.987077,1973.616024,43.960710,1973.608509,60.453681,-0.007515,16.492971,motion control,
1767119997.348314,12.265797,1978.237626,1978.943098,48.227722,1978.934325,66.734698,-0.008773,18.506976,motion control,
1767119997.460620,13.618707,1985.012529,1985.878241,57.442574,1985.868942,74.119582,-0.009299,16.677008,motion control,
1767119997.572849,14.927080,1992.532670,1993.544792,65.965531,1993.534160,81.507639,-0.010632,15.542108,motion control,
1767119997.685081,16.216896,2000.730302,2001.856212,72.007694,2001.843456,88.825051,-0.012756,16.817356,motion control,
1767119997.797291,17.599927,2010.249040,2011.558930,82.658720,2011.546455,96.671296,-0.012475,14.012576,motion control,
1767119997.909521,19.081636,2020.208147,2021.640862,88.630595,2021.627655,104.199421,-0.013207,15.568826,motion control,
1767119998.021769,20.653753,2033.283708,2033.331418,99.855020,2033.313848,112.296253,-0.017570,12.441233,motion control,
1767119998.133966,22.193044,2045.512407,2045.587809,107.570636,2045.572216,120.204840,-0.015593,12.634204,motion control,
1767119998.246226,23.768483,2059.096086,2059.221758,118.450785,2059.201877,128.427616,-0.019882,9.976832,motion control,
1767119998.358430,25.311345,2073.323381,2073.484702,126.142096,2073.466416,136.503969,-0.018285,10.361873,motion control,
1767119998.470661,26.890390,2088.973406,2089.195171,136.807116,2089.173709,144.877284,-0.021462,8.070169,motion control,
1767119998.582900,28.445669,2105.267046,2105.543122,144.400073,2105.520331,153.105914,-0.022791,8.705840,motion control,
1767119998.695161,30.055246,2122.915667,2123.259240,154.685497,2123.231838,161.549209,-0.027402,6.863712,motion control,
1767119998.807398,31.635052,2141.309527,2141.722811,162.840701,2141.696411,169.905364,-0.026400,7.064663,motion control,
1767119998.919613,33.228780,2160.821246,2161.300212,171.732592,2161.272411,178.337413,-0.027801,6.604820,motion control,
1767119999.031843,34.828641,2181.518573,2182.084430,182.301158,2182.056005,186.873679,-0.028425,4.572521,motion control,
1767119999.144171,36.411500,2203.130511,2203.791887,191.271398,2203.755177,195.388453,-0.036710,4.117056,motion control,
