Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1767120192.028847,-2.952756,612.620550,612.620814,0.020160,612.620294,-50.000000,-0.000520,-50.020160,motion control,
1767120192.141115,-4.127224,612.247930,612.208266,-2.945725,612.208838,-50.000000,0.000572,-47.054275,motion control,
1767120192.253373,-6.455537,610.689702,610.541786,-11.115826,610.543630,-50.000000,0.001845,-38.884174,motion control,
1767120192.365631,-8.534146,609.029851,608.829091,-14.285112,608.831359,-50.000000,0.002268,-35.714888,motion control,
1767120192.477967,-10.512325,607.166753,606.925517,-16.671378,606.928251,-50.000000,0.002735,-33.328622,motion control,
1767120192.590243,-12.393434,605.303655,605.048352,-17.246791,605.051058,-50.000000,0.002706,-32.753209,motion control,
1767120192.702553,0.000000,603.440557,603.181581,-17.028930,603.185259,-17.028930,0.003678,0.000000,motion control,
1767120192.814708,0.000000,601.645208,601.395701,-16.180736,601.396851,-16.180736,0.001150,0.000000,motion control,
1767120192.926951,0.000000,601.780706,601.722155,-3.731699,601.722413,-3.731699,0.000258,0.000000,motion control,
1767120193.039191,0.000000,601.780706,601.774560,-0.383556,601.774587,-0.383556,0.000027,0.000000,motion control,
1767120193.151423,0.000000,601.848455,601.848503,0.158669,601.848493,0.158669,-0.000010,0.000000,motion control,
1767120193.263691,0.000000,601.848455,601.848502,0.070547,601.848499,0.070547,-0.000003,0.000000,ready,
1767120193.375951,0.000000,601.848455,601.848471,0.017617,601.848471,0.017617,-0.000001,0.000000,ready,
1767120193.488204,0.000000,601.848455,601.848432,-0.017653,601.848433,-0.017653,0.000001,0.000000,ready,
1767120193.600416,0.000000,601.848455,601.848428,-0.017644,601.848428,-0.017644,0.000001,0.000000,ready,
1767120193.712745,0.000000,601.848455,601.848488,0.017677,601.848487,0.017677,-0.000001,0.000000,ready,
1767120193.825041,0.000000,601.848455,601.848495,0.017684,601.848495,0.017684,-0.000001,0.000000,ready,
1767120193.937251,0.000000,601.848455,601.848412,-0.017792,601.848413,-0.017792,0.000001,0.000000,ready,
1767120194.049816,0.000000,601.848455,601.848402,-0.017781,601.848403,-0.017781,0.000001,0.000000,ready,
1767120194.162058,0.000000,601.848455,601.848394,-0.017801,601.848395,-0.017801,0.000001,0.000000,ready,
1767120194.274305,0.000000,601.848455,601.848455,0.000000,601.848455,0.000000,0.000000,0.000000,ready,
