Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1767120326.188401,10.700000,0.942993,0.940421,-0.190931,0.940452,40.000000,0.000031,40.190931,motion control,
1767120326.300695,10.700000,0.952148,0.953201,0.076294,0.953188,40.000000,-0.000012,39.923706,motion control,
1767120326.412953,10.700000,0.961304,0.965080,0.267330,0.965039,40.000000,-0.000041,39.732670,motion control,
1767120326.525240,10.700000,0.988770,0.998150,0.648658,0.998030,40.000000,-0.000119,39.351342,motion control,
1767120326.637435,11.418732,2.362061,2.595719,15.839168,2.593298,40.000000,-0.002421,24.160832,motion control,
1767120326.749678,12.222817,5.209351,5.638518,28.515810,5.633984,40.000000,-0.004535,11.484190,motion control,
1767120326.861906,12.559836,9.146118,9.736036,38.443407,9.730078,40.000000,-0.005958,1.556593,motion control,
1767120326.975132,12.464608,14.694214,14.722884,44.031968,14.714916,40.000000,-0.007968,-4.031968,motion control,
1767120327.087355,12.276390,19.647217,19.686648,44.150685,19.679533,40.000000,-0.007116,-4.150685,motion control,
1767120327.199759,12.106668,24.508667,24.568483,43.122742,24.561369,40.000000,-0.007115,-3.122742,motion control,
1767120327.312124,11.969090,29.333496,29.411015,43.064770,29.403304,40.000000,-0.007711,-3.064770,motion control,
1767120327.424409,14.004937,34.176636,34.267307,43.280131,34.260166,47.580908,-0.007141,4.300777,motion control,
1767120327.536738,17.015654,39.221191,39.337748,46.453054,39.330083,57.253177,-0.007664,10.800123,motion control,
1767120327.649028,20.094014,44.879150,45.028325,51.688204,45.019748,66.451932,-0.008577,14.763727,motion control,
1767120327.761395,23.256599,51.113892,51.299451,56.921835,51.290345,75.299259,-0.009106,18.377424,motion control,
1767120327.873669,25.645227,57.980347,58.205845,62.277414,58.195392,83.970161,-0.010453,21.692746,motion control,
1767120327.985935,28.017249,65.643310,65.919584,69.889816,65.908319,92.701529,-0.011264,22.811712,motion control,
1767120328.098883,30.493397,74.468994,74.871567,81.295801,74.856139,101.897681,-0.015428,20.601879,motion control,
1767120328.211215,32.991315,84.622192,85.124808,93.932332,85.107340,111.505056,-0.017468,17.572724,motion control,
1767120328.323426,35.652967,96.450806,97.064511,109.455575,97.046244,121.742179,-0.018267,12.286605,motion control,
1767120328.435637,38.000000,109.863281,110.582246,121.959033,110.562968,132.380147,-0.019278,10.421114,motion control,
1767120328.547849,38.000000,124.172974,124.964834,128.359591,124.943259,140.000000,-0.021575,11.640409,motion control,
1767120328.660205,38.000000,138.601684,139.428487,128.701530,139.402221,140.000000,-0.026266,11.298470,motion control,
1767120328.772440,38.000000,153.231811,154.128458,130.479495,154.106931,140.000000,-0.021527,9.520505,motion control,
1767120328.884680,38.000000,168.035889,168.983206,131.995863,168.961838,140.000000,-0.021368,8.004137,motion control,
1767120328.997146,38.000000,182.940674,183.960869,132.337776,183.936132,140.000000,-0.024737,7.662224,motion control,
1767120329.109382,38.000000,198.046875,199.125667,135.052010,199.104995,140.000000,-0.020672,4.947990,motion control,
1767120329.221759,38.000000,213.043213,214.158410,133.204558,214.131352,140.000000,-0.027058,6.795442,motion control,
1767120329.333973,38.000000,228.195190,229.377556,135.950517,229.351464,140.000000,-0.026093,4.049483,motion control,
1767120329.446230,38.000000,243.594360,244.831102,137.783444,244.806727,140.000000,-0.024375,2.216556,motion control,
1767120329.558519,38.000000,258.901977,260.184570,137.248237,260.161795,140.000000,-0.022775,2.751763,motion control,
1767120329.670787,38.000000,274.337768,275.670803,138.066756,275.646477,140.000000,-0.024326,1.933244,motion control,
1767120329.782982,38.000000,289.801025,291.182164,138.822334,291.161213,140.000000,-0.020951,1.177666,motion control,
1767120329.895260,38.000000,305.328369,306.744217,139.273863,306.722501,140.000000,-0.021716,0.726137,motion control,
1767120330.007495,38.000000,320.846557,322.312965,138.995738,322.291127,140.000000,-0.021839,1.004262,motion control,
1767120330.119726,38.000000,336.392212,337.897521,138.586512,337.875779,140.000000,-0.021741,1.413488,motion control,
1767120330.231968,38.000000,352.047729,353.605795,139.675578,353.583050,140.000000,-0.022745,0.324422,motion control,
1767120330.344293,38.000000,367.456054,369.047784,137.679151,369.019423,140.000000,-0.028361,2.320849,motion control,
1767120330.456476,35.849273,382.901001,384.525909,138.099723,384.505034,132.000928,-0.020875,-6.098795,motion control,
1767120330.568723,33.227964,397.833252,399.415296,131.039471,399.393552,123.251642,-0.021745,-7.787829,motion control,
1767120330.681033,30.701315,411.547851,413.039926,119.797408,413.018733,114.661197,-0.021193,-5.136212,motion control,
1767120330.793444,28.128320,424.429321,425.886841,112.776591,425.867669,105.923791,-0.019171,-6.852800,motion control,
1767120330.906047,25.577873,436.175537,437.560543,102.138673,437.544398,97.305397,-0.016145,-4.833276,motion control,
1767120331.018350,22.930149,447.070312,448.373646,94.582380,448.359078,88.578430,-0.014567,-6.003950,motion control,
1767120331.130584,20.273455,456.921386,458.128953,84.944544,458.115607,79.891545,-0.013346,-5.052999,motion control,
1767120331.242816,17.749838,465.637207,466.739938,75.862607,466.728037,71.349803,-0.011901,-4.512804,motion control,
1767120331.355117,15.227954,473.410034,474.423165,68.298216,474.411620,62.755534,-0.011545,-5.542682,motion control,
1767120331.467649,12.780042,480.084228,480.979037,57.904818,480.956051,54.374556,-0.022986,-3.530262,motion control,
1767120331.579606,10.482135,485.668945,486.410899,48.094910,486.403308,46.254770,-0.007591,-1.840140,motion control,
1767120331.691844,8.650130,490.493774,491.133183,40.476863,491.126794,40.000000,-0.006389,-0.476863,motion control,
1767120331.804234,8.807141,494.403076,494.938955,33.610051,494.932504,40.000000,-0.006451,6.389949,motion control,
1767120331.916449,9.102801,498.733520,498.750914,35.075389,498.744985,40.000000,-0.005929,4.924611,motion control,
1767120332.028747,9.322746,502.624511,502.654766,34.502157,502.649074,40.000000,-0.005692,5.497843,motion control,
1767120332.141021,9.553059,506.542968,506.584869,34.918348,506.579249,40.000000,-0.005619,5.081652,motion control,
1767120332.253329,9.771124,510.470581,510.509198,34.543104,510.504018,40.000000,-0.005180,5.456896,motion control,
1767120332.365560,9.999499,514.434814,514.499867,35.920551,514.494266,40.000000,-0.005601,4.079449,motion control,
1767120332.477910,10.207721,518.344116,518.422388,34.973775,518.416585,40.000000,-0.005804,5.026225,motion control,
1767120332.590144,10.500364,522.006225,522.089665,32.452821,522.084047,40.000000,-0.005617,7.547179,motion control,
