Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1767120484.748681,-4.666667,32.785034,32.784324,-0.060670,32.784153,-30.000000,-0.000170,-29.939330,motion control,
1767120484.860958,-4.666667,32.785034,32.784930,-0.008676,29.415865,-30.000000,-3.369064,-29.991324,motion control,
1767120484.973176,-4.666667,32.775879,32.774488,-0.112772,26.049328,-30.000000,-6.725160,-29.887228,motion control,
1767120485.085412,-4.666667,32.775879,32.775119,-0.060648,22.682257,-30.000000,-10.092862,-29.939352,motion control,
1767120485.197629,-4.666667,32.373047,32.320958,-4.035706,19.315810,-30.000000,-13.005148,-25.964294,motion control,
1767120485.309894,-4.666667,29.754639,29.480013,-20.778241,15.947861,-30.000000,-13.532152,-9.221759,motion control,
1767120485.422111,-4.666667,27.301025,27.004186,-22.006380,12.581511,-30.000000,-14.422676,-7.993620,motion control,
1767120485.534828,-4.666667,24.600220,24.255970,-24.093687,9.199843,-30.000000,-15.056127,-5.906313,motion control,
1767120485.647132,-4.666667,21.716309,21.340168,-25.692893,5.831333,-30.000000,-15.508835,-4.307107,motion control,
1767120485.759332,-4.666667,18.676758,18.274816,-27.010160,2.464586,-30.000000,-15.810230,-2.989840,motion control,
1767120485.871569,-4.666667,15.444946,15.007736,-28.809205,-0.902334,-30.000000,-15.910070,-1.190795,motion control,
1767120485.983789,-4.666667,12.149048,11.692942,-29.477735,-4.268984,-30.000000,-15.961926,-0.522265,motion control,
1767120486.095967,-4.666667,8.843994,8.379445,-29.557057,-7.634321,-30.000000,-16.013766,-0.442943,motion control,
1767120486.208198,-4.666667,5.438232,4.958671,-30.340521,-11.001329,-30.000000,-15.960000,0.340521,motion control,
1767120486.320370,-4.666667,1.574707,1.567460,-30.336920,-14.366603,-30.000000,-15.934063,0.336920,motion control,
1767120486.432604,-4.666667,-1.794434,-1.808422,-30.211483,-17.733452,-30.000000,-15.925031,0.211483,motion control,
1767120486.544794,-4.666667,-5.191040,-5.214143,-30.357839,-21.099121,-30.000000,-15.884977,0.357839,motion control,
1767120486.656969,-4.666667,-8.605957,-8.636416,-30.425181,-24.464504,-30.000000,-15.828088,0.425181,motion control,
1767120486.769229,-4.666667,-12.066650,-12.106657,-30.771756,-27.832227,-30.000000,-15.725570,0.771756,motion control,
1767120486.881439,-4.666667,-15.527344,-15.574066,-30.860957,-31.198521,-30.000000,-15.624455,0.860957,motion control,
1767120486.993716,-4.666667,-18.969727,-19.028394,-30.750883,-34.566809,-30.000000,-15.538415,0.750883,motion control,
1767120487.106012,-4.666667,-22.348022,-22.416440,-30.219630,-35.000000,-30.000000,-12.583560,0.219630,motion control,
1767120487.218266,-4.666667,-25.680542,-25.756654,-29.768568,-35.000000,-30.000000,-9.243346,-0.231432,motion control,
1767120487.330513,-4.666667,-28.994751,-29.079676,-29.601901,-35.000000,-30.000000,-5.920324,-0.398099,motion control,
1767120487.442830,0.000000,-32.290649,-32.387426,-29.505801,-32.385513,-29.505801,0.001913,0.000000,motion control,
1767120487.555233,0.000000,-34.149170,-34.212196,-17.034020,-34.211108,-17.034020,0.001088,0.000000,motion control,
1767120487.667689,0.000000,-34.149170,-34.154656,-1.298442,-34.154392,-1.298442,0.000263,0.000000,monitor,
1767120487.779833,0.000000,-34.149170,-34.149008,0.036686,-34.149009,0.036686,-0.000002,0.000000,ready,
1767120487.892468,0.000000,-34.158325,-34.158625,-0.058685,-34.158623,-0.058685,0.000002,0.000000,ready,
1767120488.004835,0.000000,-34.158325,-34.158488,-0.029340,-34.158486,-0.029340,0.000001,0.000000,ready,
1767120488.117063,0.000000,-34.149170,-34.148697,0.080736,-34.148702,0.080736,-0.000005,0.000000,ready,
1767120488.229279,0.000000,-34.158325,-34.158370,-0.007354,-34.158370,-0.007354,0.000000,0.000000,ready,
1767120488.341558,0.000000,-34.167480,-34.168049,-0.088090,-34.168045,-0.088090,0.000004,0.000000,ready,
1767120488.453930,0.000000,-34.167480,-34.168137,-0.095386,-34.168133,-0.095386,0.000004,0.000000,ready,
1767120488.566363,0.000000,-34.158325,-34.158325,-0.000002,-34.158325,-0.000002,0.000000,0.000000,ready,
1767120488.678652,0.000000,-34.167480,-34.168209,-0.095470,-34.168206,-0.095470,0.000003,0.000000,ready,
