Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1767120461.445447,4.666667,-34.204102,-34.204676,-0.069351,-34.204510,30.000000,0.000166,30.069351,motion control,
1767120461.557694,4.666667,-34.204102,-34.204547,-0.051995,-30.836832,30.000000,3.367715,30.051995,motion control,
1767120461.669917,4.666667,-34.176636,-34.175093,0.173571,-27.470339,30.000000,6.704753,29.826429,motion control,
1767120461.782215,4.666667,-34.167480,-34.166441,0.112770,-24.101461,30.000000,10.064980,29.887230,motion control,
1767120461.894506,4.666667,-33.132935,-33.039446,9.743499,-20.732602,30.000000,12.306844,20.256501,motion control,
1767120462.006806,4.666667,-30.514526,-30.290621,22.516671,-17.363731,30.000000,12.926891,7.483329,motion control,
1767120462.119077,4.666667,-27.767944,-27.517242,24.307019,-13.995653,30.000000,13.521589,5.692981,motion control,
1767120462.231363,4.666667,-24.920654,-24.648891,25.565378,-10.627016,30.000000,14.021875,4.434622,motion control,
1767120462.343629,4.666667,-21.926880,-21.635705,26.772369,-7.259069,30.000000,14.376636,3.227631,motion control,
1767120462.455852,4.666667,-18.841553,-18.530949,27.712544,-3.892368,30.000000,14.638581,2.287456,motion control,
1767120462.568065,4.666667,-15.637207,-15.307568,28.599298,-0.525967,30.000000,14.781601,1.400702,motion control,
1767120462.680296,4.666667,-12.405395,-12.064477,28.869112,2.840844,30.000000,14.905321,1.130888,motion control,
1767120462.792500,4.666667,-9.072876,-8.715851,29.653509,6.207067,30.000000,14.922918,0.346491,motion control,
1767120462.904702,4.666667,-5.749512,-5.384825,29.640114,9.573278,30.000000,14.958103,0.359886,motion control,
1767120463.017638,4.666667,-2.426147,-2.031937,29.671399,12.961138,30.000000,14.993075,0.328601,motion control,
1767120463.129816,4.666667,0.997925,1.410706,30.468312,16.326601,30.000000,14.915895,-0.468312,motion control,
1767120463.241999,4.666667,4.403687,4.824627,30.461030,19.692463,30.000000,14.867836,-0.461030,motion control,
1767120463.354240,4.666667,7.809448,8.239346,30.396518,23.059426,30.000000,14.820080,-0.396518,motion control,
1767120463.466502,4.666667,11.141968,11.570387,29.772000,26.427142,30.000000,14.856756,0.228000,motion control,
1767120463.578711,4.666667,14.492798,14.930887,29.842773,29.793489,30.000000,14.862602,0.157227,motion control,
1767120463.690942,4.666667,17.816162,18.260419,29.757849,33.160295,30.000000,14.899876,0.242151,motion control,
1767120463.803169,4.666667,21.102905,21.554213,29.559347,35.000000,30.000000,13.445787,0.440653,motion control,
1767120463.915405,4.666667,24.499512,24.969492,30.258785,35.000000,30.000000,10.030508,-0.258785,motion control,
1767120464.027626,4.666667,27.868652,28.344596,30.064061,35.000000,30.000000,6.655404,-0.064061,motion control,
1767120464.139858,0.000000,31.201172,31.676913,29.690867,31.674599,29.690867,-0.002315,0.000000,motion control,
1767120464.252135,0.000000,32.785034,33.012140,13.817504,33.010964,13.817504,-0.001176,0.000000,motion control,
1767120464.364336,0.000000,32.785034,32.785152,0.160970,32.785142,0.160970,-0.000010,0.000000,motion control,
1767120464.476566,0.000000,32.785034,32.785034,-0.000002,32.785034,-0.000002,0.000000,0.000000,ready,
1767120464.588779,0.000000,32.794189,32.794284,0.073387,32.794280,0.073387,-0.000004,0.000000,ready,
1767120464.701015,0.000000,32.785034,32.784964,-0.044050,32.784967,-0.044050,0.000003,0.000000,ready,
1767120464.813276,0.000000,32.794189,32.794301,0.058703,32.794298,0.058703,-0.000003,0.000000,ready,
1767120464.925544,0.000000,32.794189,32.794303,0.051372,32.794300,0.051372,-0.000003,0.000000,ready,
1767120465.037814,0.000000,32.794189,32.794320,0.051387,32.794317,0.051387,-0.000003,0.000000,ready,
1767120465.150028,0.000000,32.785034,32.784952,-0.029337,32.784954,-0.029337,0.000001,0.000000,ready,
1767120465.262273,0.000000,32.785034,32.784965,-0.021968,32.784967,-0.021968,0.000001,0.000000,ready,
1767120465.374559,0.000000,32.785034,32.784983,-0.014667,32.784984,-0.014667,0.000001,0.000000,ready,
1767120465.486802,0.000000,32.794189,32.794465,0.073403,32.794462,0.073403,-0.000003,0.000000,ready,
