Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1767120423.517644,-4.666667,6.170654,6.172306,0.130130,6.172023,-30.000000,-0.000283,-30.130130,motion control,
1767120423.629839,-4.666667,6.143188,6.141172,-0.156193,2.806279,-30.000000,-3.334894,-29.843807,motion control,
1767120423.742064,-4.666667,6.161499,6.162413,0.069392,-0.560555,-30.000000,-6.722967,-30.069392,motion control,
1767120423.854273,-4.666667,6.161499,6.162416,0.069273,-3.842303,-30.000000,-10.004718,-30.069273,motion control,
1767120423.966496,-4.666667,6.143188,6.140950,-0.165290,-3.842303,-30.000000,-9.983252,-29.834710,motion control,
1767120424.078675,-4.666667,6.161499,6.161855,0.025459,-3.842303,-30.000000,-10.004158,-30.025459,motion control,
1767120424.190881,-4.666667,6.115723,6.110162,-0.390323,-3.842303,-30.000000,-9.952465,-29.609677,motion control,
1767120424.303115,-4.666667,3.717041,3.427367,-19.933389,-3.842303,-30.000000,-7.269670,-10.066611,motion control,
1767120424.415297,-4.666667,1.519775,1.212435,-20.785870,-3.842303,-30.000000,-5.054738,-9.214130,motion control,
1767120424.527545,0.000000,-0.988770,-1.320562,-21.967485,-1.318127,-21.967485,0.002435,0.000000,motion control,
1767120424.640041,0.000000,-3.652954,-4.016169,-23.323358,-4.014679,-23.323358,0.001490,0.000000,motion control,
1767120424.752794,0.000000,-4.879761,-4.884178,-9.376321,-4.883577,-9.376321,0.000601,0.000000,motion control,
1767120424.864977,0.000000,-4.870605,-4.870774,-0.249494,-4.870763,-0.249494,0.000011,0.000000,ready,
1767120424.977191,0.000000,-4.888916,-4.889015,-0.102755,-4.889011,-0.102755,0.000004,0.000000,ready,
1767120425.089382,0.000000,-4.879761,-4.879743,0.014659,-4.879743,0.014659,-0.000001,0.000000,ready,
1767120425.201619,0.000000,-4.870605,-4.870464,0.095391,-4.870468,0.095391,-0.000004,0.000000,ready,
1767120425.313840,0.000000,-4.888916,-4.889074,-0.088061,-4.889070,-0.088061,0.000004,0.000000,ready,
1767120425.426081,0.000000,-4.879761,-4.879714,0.021996,-4.879715,0.021996,-0.000001,0.000000,ready,
1767120425.538308,0.000000,-4.879761,-4.879708,0.021987,-4.879709,0.021987,-0.000001,0.000000,ready,
1767120425.650518,0.000000,-4.879761,-4.879780,-0.007413,-4.879780,-0.007413,0.000000,0.000000,ready,
1767120425.762738,0.000000,-4.870605,-4.870428,0.065833,-4.870431,0.065833,-0.000003,0.000000,ready,
1767120425.874988,0.000000,-4.888916,-4.889221,-0.095343,-4.889216,-0.095343,0.000004,0.000000,ready,
