Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1767120402.075480,4.666667,-1.885986,-1.885456,0.034694,-1.885275,30.000000,0.000181,29.965306,motion control,
1767120402.187725,4.666667,-1.885986,-1.885717,0.017343,1.482176,30.000000,3.367893,29.982657,motion control,
1767120402.300024,4.666667,-1.895142,-1.896106,-0.060710,4.851213,30.000000,6.747319,30.060710,motion control,
1767120402.412260,4.666667,-1.895142,-1.895146,-0.029371,8.109160,30.000000,10.004306,30.029371,motion control,
1767120402.524471,4.666667,-1.895142,-1.895142,0.000131,8.109160,30.000000,10.004301,29.999869,motion control,
1767120402.636675,4.666667,-1.885986,-1.885923,0.080901,8.109160,30.000000,9.995083,29.919099,motion control,
1767120402.748863,4.666667,-1.776123,-1.775041,1.064327,8.109160,30.000000,9.884200,28.935673,motion control,
1767120402.861127,0.000000,2.645874,2.680939,32.552806,2.676934,32.552806,-0.004005,0.000000,motion control,
1767120402.974214,0.000000,5.245972,5.306661,26.080803,5.305094,26.080803,-0.001567,0.000000,motion control,
1767120403.086414,0.000000,6.143188,6.167973,8.956746,6.167390,8.956746,-0.000583,0.000000,motion control,
1767120403.198617,0.000000,6.161499,6.162240,0.247986,6.162232,0.247986,-0.000008,0.000000,ready,
1767120403.310833,0.000000,6.161499,6.161618,0.036658,6.161617,0.036658,-0.000002,0.000000,ready,
1767120403.423049,0.000000,6.161499,6.161525,0.007372,6.161525,0.007372,-0.000000,0.000000,ready,
1767120403.535292,0.000000,6.143188,6.142569,-0.161411,6.142576,-0.161411,0.000007,0.000000,ready,
1767120403.647507,0.000000,6.161499,6.161741,0.058700,6.161739,0.058700,-0.000002,0.000000,ready,
1767120403.759782,0.000000,6.161499,6.161760,0.058713,6.161757,0.058713,-0.000003,0.000000,ready,
1767120403.872120,0.000000,6.170654,6.171084,0.088093,6.171077,0.088093,-0.000007,0.000000,ready,
1767120403.984381,0.000000,6.161499,6.161651,0.029359,6.161650,0.029359,-0.000001,0.000000,ready,
1767120404.096614,0.000000,6.143188,6.142665,-0.095412,6.142670,-0.095412,0.000005,0.000000,ready,
1767120404.208867,0.000000,6.170654,6.171424,0.132166,6.171418,0.132166,-0.000005,0.000000,ready,
