Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1767120527.454264,6.995000,-0.000183,-0.000184,-0.000152,-0.000184,0.040000,0.000000,0.040152,motion control,
1767120527.566336,6.995000,-0.000146,-0.000146,0.000153,-0.000146,0.040000,-0.000000,0.039847,motion control,
1767120527.678879,6.995000,-0.000146,-0.000144,0.000458,-0.000144,0.040000,-0.000000,0.039542,motion control,
1767120527.791132,6.995000,-0.000110,-0.000103,0.001221,-0.000104,0.040000,-0.000000,0.038779,motion control,
1767120527.903334,6.995000,-0.000183,-0.000187,-0.000611,-0.000184,0.040000,0.000003,0.040611,motion control,
1767120528.015504,6.995000,-0.000146,-0.000147,-0.000153,-0.000147,0.040000,0.000000,0.040153,motion control,
1767120528.127755,6.995000,0.001538,0.001709,0.027634,0.001704,0.040000,-0.000005,0.012366,motion control,
1767120528.240007,6.995000,0.005420,0.005621,0.030993,0.005616,0.040000,-0.000005,0.009007,motion control,
1767120528.352327,6.995000,0.009375,0.009650,0.039996,0.009644,0.040000,-0.000006,0.000004,motion control,
1767120528.464713,6.996925,0.013623,0.013900,0.037877,0.013894,0.040010,-0.000006,0.002133,motion control,
1767120528.577067,6.996925,0.017945,0.018238,0.038014,0.018233,0.040010,-0.000006,0.001996,motion control,
1767120528.689375,6.996925,0.022339,0.022653,0.038642,0.022646,0.040010,-0.000006,0.001368,motion control,
1767120528.801822,6.996925,0.026807,0.027145,0.039680,0.027139,0.040010,-0.000006,0.000330,motion control,
1767120528.914054,6.996925,0.031275,0.031638,0.040936,0.031632,0.040010,-0.000006,-0.000926,motion control,
1767120529.026387,7.008870,0.035633,0.036002,0.039840,0.035996,0.040010,-0.000006,0.000170,motion control,
1767120529.138709,7.023722,0.040027,0.040407,0.039494,0.040401,0.040010,-0.000006,0.000516,motion control,
1767120529.250916,7.023446,0.044568,0.044980,0.041382,0.044973,0.040000,-0.000007,-0.001382,motion control,
1767120529.363184,7.015963,0.049073,0.049494,0.041189,0.049486,0.040000,-0.000007,-0.001189,motion control,
1767120529.475384,7.002944,0.053577,0.054001,0.040176,0.053995,0.040000,-0.000006,-0.000176,motion control,
1767120529.587604,6.989628,0.058118,0.058553,0.040307,0.058547,0.040000,-0.000006,-0.000307,motion control,
1767120529.699807,6.984118,0.062659,0.063111,0.040918,0.063105,0.040000,-0.000006,-0.000918,motion control,
1767120529.811940,0.000000,0.067201,0.067666,0.041394,0.067663,0.041394,-0.000002,0.000000,motion control,
1767120529.924171,0.000000,0.068556,0.068557,0.000152,0.068557,0.000152,-0.000000,0.000000,motion control,
1767120530.036357,0.000000,0.068556,0.068561,0.000458,0.068561,0.000458,-0.000000,0.000000,motion control,
1767120530.148552,0.000000,0.068556,0.068556,0.000000,0.068556,0.000000,0.000000,0.000000,ready,
1767120530.260909,0.000000,0.068556,0.068556,0.000000,0.068556,0.000000,0.000000,0.000000,ready,
1767120530.373245,0.000000,0.068556,0.068557,0.000153,0.068557,0.000153,-0.000000,0.000000,ready,
1767120530.485579,0.000000,0.068556,0.068556,-0.000000,0.068556,-0.000000,0.000000,0.000000,ready,
1767120530.597777,0.000000,0.068519,0.068511,-0.000609,0.068511,-0.000609,0.000000,0.000000,ready,
1767120530.709985,0.000000,0.068556,0.068556,0.000000,0.068556,0.000000,0.000000,0.000000,ready,
1767120530.822214,0.000000,0.068556,0.068553,-0.000153,0.068553,-0.000153,0.000000,0.000000,ready,
1767120530.934382,0.000000,0.068556,0.068558,0.000152,0.068558,0.000152,-0.000000,0.000000,ready,
1767120531.046577,0.000000,0.068556,0.068556,0.000000,0.068556,0.000000,0.000000,0.000000,ready,
1767120531.158807,0.000000,0.068519,0.068508,-0.000764,0.068508,-0.000764,0.000000,0.000000,ready,
