Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1766519370.012233,-19.692308,2000.539551,2000.539335,-0.021925,2000.539339,-50.000000,0.000004,-49.978075,motion control,
1766519370.124397,-19.692308,2000.553589,2000.554257,0.066812,2000.539339,-50.000000,-0.014917,-50.066812,motion control,
1766519370.236654,-19.852873,2000.244751,2000.219710,-2.455694,2000.220073,-50.948795,0.000364,-48.493101,motion control,
1766519370.348918,-21.849959,1996.875610,1996.633641,-23.197028,1996.637286,-60.585609,0.003645,-37.388581,motion control,
1766519370.461181,-23.995890,1993.717041,1993.399063,-29.933039,1993.403795,-68.122415,0.004732,-38.189376,motion control,
1766519370.573448,-26.263298,1989.828491,1989.466048,-33.540699,1989.472053,-76.290142,0.006006,-42.749443,motion control,
1766519370.685736,-28.826511,1984.830933,1984.374124,-41.429551,1984.381542,-85.716620,0.007418,-44.287070,motion control,
1766519370.798087,-31.323528,1979.819336,1979.300563,-45.674555,1979.308241,-94.177118,0.007677,-48.502564,motion control,
1766519370.910321,-34.009717,1973.740845,1973.138169,-52.197142,1973.146259,-103.527408,0.008089,-51.330265,motion control,
1766519371.022650,-36.843039,1966.763916,1966.052365,-60.290940,1966.062010,-113.327837,0.009645,-53.036897,motion control,
1766519371.134935,-39.694103,1959.351807,1958.559007,-65.940410,1958.570609,-122.843880,0.011602,-56.903471,motion control,
1766519371.247191,-42.706743,1950.830688,1949.925112,-73.991183,1949.937990,-132.967683,0.012878,-58.976500,motion control,
1766519371.359400,-45.791036,1941.509399,1940.493171,-81.867930,1940.505858,-143.213283,0.012687,-61.345352,motion control,
1766519371.471667,-48.969514,1931.303711,1930.170200,-89.818828,1930.184398,-153.644012,0.014198,-63.825184,motion control,
1766519371.583921,-52.253603,1919.960938,1918.686203,-99.481317,1918.703494,-164.471133,0.017291,-64.989816,motion control,
1766519371.696265,-56.987295,1905.698242,1904.094951,-122.136055,1904.118393,-177.274600,0.023441,-55.138545,motion control,
1766519371.808493,-63.071467,1887.518921,1885.446529,-155.666123,1885.470022,-192.407887,0.023493,-36.741764,motion control,
1766519371.920764,-66.218397,1866.377563,1863.901538,-183.639864,1863.930742,-200.000000,0.029203,-16.360136,motion control,
1766519372.033133,-66.366193,1843.425293,1840.644051,-201.599830,1840.676111,-200.000000,0.032059,1.599830,motion control,
1766519372.145474,-66.247188,1820.136108,1817.206921,-207.567202,1817.240325,-200.000000,0.033404,7.567202,motion control,
1766519372.257724,-66.031476,1796.327515,1793.299003,-211.401792,1793.335544,-200.000000,0.036542,11.401792,motion control,
1766519372.369979,-65.785969,1772.701416,1769.637005,-211.646340,1769.667887,-200.000000,0.030882,11.646340,motion control,
1766519372.482348,-65.520709,1749.061279,1745.932067,-211.048044,1745.965227,-200.000000,0.033159,11.048044,motion control,
1766519372.594759,-65.270071,1725.308838,1722.093956,-211.616345,1722.132451,-200.000000,0.038496,11.616345,motion control,
1766519372.706994,-65.019805,1701.766968,1698.529298,-210.689379,1698.560040,-200.000000,0.030742,10.689379,motion control,
1766519372.819402,-64.776508,1678.098755,1674.784502,-210.828623,1674.820341,-200.000000,0.035839,10.828623,motion control,
1766519372.931599,-64.536625,1654.402466,1651.043990,-211.676986,1651.076592,-200.000000,0.032602,11.676986,motion control,
1766519373.043819,-64.286357,1630.916748,1627.579452,-210.035908,1627.618963,-200.000000,0.039510,10.035908,motion control,
1766519373.156042,-64.056964,1607.234497,1603.885415,-210.420894,1603.921386,-200.000000,0.035971,10.420894,motion control,
1766519373.268267,-63.841653,1580.520020,1580.443274,-209.703369,1580.474922,-200.000000,0.031648,9.703369,motion control,
1766519373.380683,-63.628975,1557.160645,1557.014841,-208.575657,1557.051988,-200.000000,0.037147,8.575657,motion control,
1766519373.492928,-63.423936,1533.618774,1533.429023,-209.440838,1533.461281,-200.000000,0.032258,9.440838,motion control,
1766519373.605251,-63.226092,1510.301514,1510.050998,-208.770228,1510.083152,-200.000000,0.032154,8.770228,motion control,
1766519373.717535,-63.022218,1486.857910,1486.558448,-208.851841,1486.594549,-200.000000,0.036101,8.851841,motion control,
1766519373.829764,-62.847273,1463.666992,1463.336682,-207.740361,1463.372640,-200.000000,0.035958,7.740361,motion control,
1766519373.942048,-62.695300,1440.672607,1440.295155,-205.924760,1440.328688,-200.000000,0.033533,5.924760,motion control,
1766519374.054347,-62.556445,1417.509766,1417.083502,-206.214618,1417.114230,-200.000000,0.030728,6.214618,motion control,
1766519374.166636,-62.420515,1394.417114,1393.946854,-206.254611,1393.978621,-200.000000,0.031767,6.254611,motion control,
1766519374.278889,-62.277999,1371.324463,1370.812016,-206.035149,1370.844781,-200.000000,0.032765,6.035149,motion control,
1766519374.391132,-62.148958,1348.245850,1347.689219,-206.152415,1347.723035,-200.000000,0.033816,6.152415,motion control,
1766519374.503357,-62.016701,1325.279541,1324.687816,-205.317325,1324.719634,-200.000000,0.031818,5.317325,motion control,
1766519374.615555,-61.891302,1302.229004,1301.607985,-205.291614,1301.638772,-200.000000,0.030787,5.291614,motion control,
1766519374.727867,-61.779271,1279.220581,1278.545848,-205.521712,1278.579169,-200.000000,0.033320,5.521712,motion control,
1766519374.840151,-61.661170,1256.310425,1255.596640,-204.748405,1255.633105,-200.000000,0.036465,4.748405,motion control,
1766519374.952512,-61.572699,1233.484497,1232.711105,-204.066478,1232.742924,-200.000000,0.031819,4.066478,motion control,
1766519375.065077,-61.484104,1210.700684,1209.823091,-203.577863,1209.855028,-200.000000,0.031937,3.577863,motion control,
1766519375.177647,-61.390889,1187.804565,1186.821207,-203.810155,1186.855464,-200.000000,0.034257,3.810155,motion control,
1766519375.290014,-61.323056,1165.104980,1164.054929,-203.138049,1164.088880,-200.000000,0.033951,3.138049,motion control,
1766519375.402340,-61.257316,1142.419434,1141.322046,-202.542401,1141.354449,-200.000000,0.032403,2.542401,motion control,
1766519375.514586,-61.209926,1119.804077,1118.672431,-202.046065,1118.705140,-200.000000,0.032708,2.046065,motion control,
1766519375.626892,-61.178914,1097.385254,1096.203543,-200.666186,1096.237033,-200.000000,0.033490,0.666186,motion control,
1766519375.739160,-61.150260,1074.727783,1073.505517,-201.396843,1073.539129,-200.000000,0.033612,1.396843,motion control,
1766519375.851426,-61.125109,1052.210693,1050.944021,-201.319036,1050.976804,-200.000000,0.032783,1.319036,motion control,
1766519375.963765,-61.083210,1029.567261,1028.239107,-201.690067,1028.276230,-200.000000,0.037123,1.690067,motion control,
1766519376.075979,-61.059405,1007.064209,1005.709520,-201.195974,1005.739933,-200.000000,0.030412,1.195974,motion control,
1766519376.188297,-61.042168,984.687500,983.288205,-200.097819,983.321027,-200.000000,0.032822,0.097819,motion control,
1766519376.300625,-61.020621,961.931763,960.456272,-202.151239,960.488612,-200.000000,0.032340,2.151239,motion control,
1766519376.412921,-60.980762,939.386597,937.862370,-202.018302,937.894688,-200.000000,0.032319,2.018302,motion control,
1766519376.525237,-59.007411,916.715088,915.147513,-201.956243,915.178232,-194.362380,0.030720,7.593863,motion control,
1766519376.637503,-55.793633,894.296265,892.688534,-200.538595,892.720425,-185.494107,0.031891,15.044488,motion control,
1766519376.749818,-52.419679,872.649536,871.044039,-194.791497,871.081843,-176.528401,0.037804,18.263095,motion control,
1766519376.862012,-49.471521,852.462769,850.923232,-183.128190,850.949211,-167.756912,0.025978,15.371278,motion control,
1766519376.974305,-48.027441,835.729370,834.370203,-156.894426,834.397173,-160.186067,0.026970,-3.291641,motion control,
1766519377.086557,-47.194084,821.480713,820.307278,-132.682995,820.325847,-153.456434,0.018569,-20.773438,motion control,
1766519377.198876,-46.744242,808.902588,807.842572,-116.406509,807.860611,-147.238214,0.018040,-30.831705,motion control,
1766519377.311146,-46.319615,796.408691,795.368835,-111.310343,795.388872,-140.742072,0.020037,-29.431728,motion control,
1766519377.423538,-45.753820,783.984985,782.921474,-110.517091,782.942817,-133.945595,0.021343,-23.428505,motion control,
1766519377.535869,-45.177699,772.543945,771.512233,-104.245055,771.530676,-127.395453,0.018443,-23.150398,motion control,
1766519377.648163,-44.487469,761.159058,760.119716,-101.895980,760.139200,-120.502614,0.019484,-18.606634,motion control,
1766519377.760429,-43.630632,750.012817,748.978157,-99.843080,748.995725,-113.355012,0.017568,-13.511932,motion control,
1766519377.872853,-42.591242,739.020996,737.967465,-98.111201,737.986810,-105.820704,0.019345,-7.709504,motion control,
1766519377.985260,-41.399700,728.478394,727.425027,-94.921859,727.441277,-98.062182,0.016249,-3.140322,motion control,
1766519378.097829,-39.989872,718.076172,716.995924,-92.941263,717.013762,-89.733296,0.017838,3.207967,motion control,
