Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1766519339.220634,18.000000,600.465088,600.464984,-0.124229,600.465018,50.000000,0.000034,50.124229,motion control,
1766519339.332870,18.000000,600.465088,600.464979,-0.102410,600.465018,50.000000,0.000039,50.102410,motion control,
1766519339.445085,21.455976,603.005981,603.027195,17.720656,603.024411,57.164829,-0.002784,39.444173,motion control,
1766519339.557434,26.504905,607.329712,607.384497,36.474003,607.378697,67.632119,-0.005800,31.158116,motion control,
1766519339.669871,34.320943,613.295898,613.390272,50.168712,613.380942,79.842201,-0.009330,29.673490,motion control,
1766519339.782225,44.121218,621.283569,621.429522,66.280657,621.417844,93.732852,-0.011678,27.452195,motion control,
1766519339.894448,54.356211,631.840210,632.050700,87.628857,632.036410,109.413973,-0.014290,21.785116,motion control,
1766519340.006799,64.495963,644.783325,645.078995,110.028288,645.059845,126.009714,-0.019150,15.981426,motion control,
1766519340.119276,74.331587,659.607544,660.003508,129.144044,659.981801,142.671071,-0.021707,13.527027,motion control,
1766519340.231870,84.025111,676.495361,677.028751,147.426537,677.001053,159.564440,-0.027698,12.137903,motion control,
1766519340.344106,93.463065,695.109863,695.724785,162.846936,695.698073,176.266606,-0.026712,13.419670,motion control,
1766519340.456488,100.000000,715.928345,716.673795,180.490926,716.643457,193.270617,-0.030338,12.779691,motion control,
1766519340.568733,100.000000,737.743530,738.582340,192.168627,738.549490,200.000000,-0.032850,7.831373,motion control,
1766519340.680968,100.000000,760.036011,760.925834,197.784327,760.894004,200.000000,-0.031830,2.215673,motion control,
1766519340.793326,100.000000,782.117920,783.073443,198.158396,783.039143,200.000000,-0.034300,1.841604,motion control,
1766519340.905741,100.000000,804.354248,805.386698,198.433301,805.341091,200.000000,-0.045607,1.566699,motion control,
1766519341.017922,100.000000,826.660767,827.719698,198.821791,827.687891,200.000000,-0.031807,1.178209,motion control,
1766519341.130159,99.999603,849.037476,850.129871,199.089152,850.097831,200.000000,-0.032040,0.910848,motion control,
1766519341.242422,99.994415,871.540527,872.679965,200.358392,872.647291,200.000000,-0.032674,-0.358392,motion control,
1766519341.354648,100.000000,893.762817,894.936551,199.683458,894.906796,200.000000,-0.029755,0.316542,motion control,
1766519341.467066,100.000000,915.999146,917.241265,198.711883,917.207486,200.000000,-0.033780,1.288117,motion control,
1766519341.579291,100.000000,938.291626,939.571500,198.490721,939.540124,200.000000,-0.031376,1.509279,motion control,
