Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1766519437.605408,-19.692308,611.176147,611.175952,-0.065766,611.175966,-50.000000,0.000014,-49.934234,motion control,
1766519437.717621,-19.692308,611.176147,611.175987,-0.051178,611.175966,-50.000000,-0.000021,-49.948822,motion control,
1766519437.829923,-19.692308,610.460205,610.443263,-5.294448,610.444105,-50.000000,0.000842,-44.705552,motion control,
1766519437.942189,-20.012021,607.961426,607.897830,-17.635727,607.900634,-50.000000,0.002805,-32.364273,motion control,
1766519438.054484,-20.637649,604.971313,604.876537,-24.693963,604.880193,-50.000000,0.003656,-25.306037,motion control,
1766519438.166644,0.000000,601.686401,601.573145,-28.563071,601.575120,-28.563071,0.001975,0.000000,motion control,
1766519438.278934,0.000000,601.124878,601.079119,-10.947203,601.079863,-10.947203,0.000744,0.000000,motion control,
1766519438.391257,0.000000,600.984497,600.980889,-0.810269,600.980945,-0.810269,0.000056,0.000000,motion control,
1766519438.503513,0.000000,600.956421,600.955532,-0.189962,600.955545,-0.189962,0.000013,0.000000,motion control,
1766519438.615814,0.000000,600.984497,600.984929,0.087697,600.984923,0.087697,-0.000006,0.000000,motion control,
1766519438.728155,0.000000,600.956421,600.955965,-0.087720,600.955970,-0.087720,0.000005,0.000000,ready,
1766519438.840363,0.000000,600.970459,600.970576,0.021906,600.970575,0.021906,-0.000001,0.000000,ready,
1766519438.952766,0.000000,600.984497,600.985287,0.138845,600.985279,0.138845,-0.000008,0.000000,ready,
1766519439.064961,0.000000,600.984497,600.985259,0.131548,600.985255,0.131548,-0.000005,0.000000,ready,
1766519439.177210,0.000000,600.956421,600.955979,-0.073044,600.955982,-0.073044,0.000003,0.000000,ready,
1766519439.289497,0.000000,600.970459,600.970827,0.058515,600.970824,0.058515,-0.000003,0.000000,ready,
1766519439.401809,0.000000,600.956421,600.956087,-0.051151,600.956090,-0.051151,0.000003,0.000000,ready,
1766519439.514076,0.000000,600.956421,600.956173,-0.036571,600.956175,-0.036571,0.000002,0.000000,ready,
1766519439.626322,0.000000,600.970459,600.970814,0.051207,600.970812,0.051207,-0.000003,0.000000,ready,
1766519439.738572,0.000000,600.956421,600.955951,-0.065680,600.955955,-0.065680,0.000004,0.000000,ready,
