Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1766519416.218795,18.000000,600.759888,600.760089,0.080381,600.760069,50.000000,-0.000020,49.919619,motion control,
1766519416.331011,18.000000,600.773926,600.774394,0.175437,600.774366,50.000000,-0.000028,49.824563,motion control,
1766519416.443346,18.000000,603.427124,603.483343,18.808141,603.480428,50.000000,-0.002915,31.191859,motion control,
1766519416.555675,18.000000,606.838379,606.937224,30.861088,606.932567,50.000000,-0.004658,19.138912,motion control,
1766519416.668059,0.000000,610.460205,610.573901,31.688183,610.570985,31.688183,-0.002916,0.000000,motion control,
1766519416.780302,0.000000,611.274414,611.317316,11.507584,611.316509,11.507584,-0.000807,0.000000,motion control,
1766519416.892588,0.000000,611.232300,611.231601,-0.174982,611.231613,-0.174982,0.000012,0.000000,motion control,
1766519417.004917,0.000000,611.218262,611.218567,0.072661,611.218562,0.072661,-0.000005,0.000000,motion control,
1766519417.117305,0.000000,611.190186,611.189788,-0.087291,611.189794,-0.087291,0.000006,0.000000,motion control,
1766519417.229694,0.000000,611.190186,611.190077,-0.021958,611.190079,-0.021958,0.000001,0.000000,ready,
1766519417.341945,0.000000,611.176147,611.175623,-0.102354,611.175627,-0.102354,0.000004,0.000000,ready,
1766519417.454305,0.000000,611.190186,611.190304,0.021934,611.190303,0.021934,-0.000001,0.000000,ready,
1766519417.566597,0.000000,611.190186,611.190518,0.058460,611.190515,0.058460,-0.000003,0.000000,ready,
1766519417.678883,0.000000,611.190186,611.190487,0.051130,611.190485,0.051130,-0.000002,0.000000,ready,
1766519417.791256,0.000000,611.190186,611.190414,0.036545,611.190412,0.036545,-0.000002,0.000000,ready,
1766519417.903590,0.000000,611.176147,611.175577,-0.087695,611.175581,-0.087695,0.000004,0.000000,ready,
1766519418.015852,0.000000,611.190186,611.190284,0.014635,611.190283,0.014635,-0.000001,0.000000,ready,
1766519418.128077,0.000000,611.190186,611.190236,0.007383,611.190236,0.007383,-0.000000,0.000000,ready,
1766519418.240308,0.000000,611.176147,611.175427,-0.102247,611.175431,-0.102247,0.000004,0.000000,ready,
