Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1766519565.164066,-10.000000,571.911621,571.909327,-0.152385,571.909357,-40.000000,0.000030,-39.847615,motion control,
1766519565.276322,-10.000000,571.920776,571.921939,0.076329,571.909357,-40.000000,-0.012582,-40.076329,motion control,
1766519565.388885,-10.000000,571.875000,571.869605,-0.343140,571.869656,-40.099128,0.000052,-39.755988,motion control,
1766519565.501251,-10.000000,571.060180,570.857222,-12.652411,570.859449,-42.543879,0.002226,-29.891468,motion control,
1766519565.613536,-12.524446,566.455078,566.447406,-25.928220,566.451579,-51.880205,0.004173,-25.951985,motion control,
1766519565.725898,-16.369154,561.657714,561.625995,-49.329507,561.634239,-60.456791,0.008245,-11.127283,motion control,
1766519565.838110,-19.941450,556.466674,556.426297,-51.444148,556.434674,-68.519607,0.008377,-17.075458,motion control,
1766519565.950383,-23.850502,549.545288,549.484637,-60.960757,549.494084,-77.993940,0.009447,-17.033183,motion control,
1766519566.062647,-27.898020,541.433715,541.345521,-73.555943,541.355816,-87.810639,0.010294,-14.254695,motion control,
1766519566.174884,-32.005172,532.278442,532.158832,-85.625913,532.171489,-97.711686,0.012657,-12.085773,motion control,
1766519566.287191,-36.065035,522.299194,522.152250,-90.702990,522.166761,-107.464037,0.014511,-16.761047,motion control,
1766519566.399479,-40.267468,510.690307,510.493981,-104.551958,510.511106,-117.811927,0.017125,-13.259969,motion control,
1766519566.511820,-44.498357,497.973632,497.721566,-115.583745,497.748269,-128.188212,0.026703,-12.604466,motion control,
1766519566.623978,-49.963137,484.277343,483.990584,-124.624962,484.010640,-138.490950,0.020056,-13.865988,motion control,
1766519566.736188,-55.453732,469.198608,468.870986,-134.601592,468.890882,-149.009043,0.019897,-14.407451,motion control,
1766519566.848396,-60.955826,453.414917,453.045343,-142.525202,453.068144,-159.274111,0.022801,-16.748909,motion control,
1766519566.960606,-66.445801,437.200927,436.820604,-146.616871,436.844794,-169.153518,0.024190,-22.536647,motion control,
1766519567.072866,-71.952170,420.584106,420.147652,-148.456863,420.175720,-178.736475,0.028068,-30.279611,motion control,
1766519567.185086,-77.563068,403.491211,403.013469,-152.972962,403.038999,-188.079960,0.025530,-35.106998,motion control,
1766519567.297266,-100.000000,386.077881,385.573766,-157.006709,385.597461,-197.135433,0.023695,-40.128724,motion control,
1766519567.409528,-100.000000,368.124389,367.572271,-161.151751,367.603547,-206.061064,0.031275,-44.909313,motion control,
1766519567.521771,-100.000000,349.804687,349.213771,-163.909814,349.246715,-214.784842,0.032944,-50.875028,motion control,
1766519567.634027,-100.000000,331.109619,330.473765,-166.883502,330.511643,-223.337285,0.037878,-56.453783,motion control,
1766519567.746237,-100.000000,311.911010,311.219154,-172.237381,311.253325,-231.799928,0.034170,-59.562547,motion control,
1766519567.858467,-100.000000,292.410278,291.679235,-174.892628,291.714219,-223.478956,0.034984,-48.586328,motion control,
1766519567.970739,-100.000000,272.543335,271.760674,-178.118064,271.799149,-214.382438,0.038475,-36.264375,motion control,
1766519568.082950,-100.000000,252.154541,251.318338,-183.291774,251.352249,-204.622701,0.033911,-21.330927,motion control,
1766519568.195338,-82.640652,231.335449,230.425375,-186.337707,230.455718,-194.142071,0.030343,-7.804364,motion control,
1766519568.307556,-66.923316,210.406494,209.459266,-187.864604,209.486902,-183.022896,0.027636,4.841708,motion control,
1766519568.419823,-60.579474,188.928223,187.915462,-192.986502,187.946888,-170.848991,0.031426,22.137512,motion control,
1766519568.532046,-53.035347,166.946411,165.875985,-196.588722,165.906076,-157.420504,0.030091,39.168218,motion control,
1766519568.644294,-44.344210,144.873047,143.760308,-197.602136,143.796490,-142.686012,0.036182,54.916124,motion control,
1766519568.756511,-34.357900,122.570801,121.422189,-198.452301,121.453322,-126.058178,0.031133,72.394122,motion control,
1766519568.868788,-25.474434,101.788330,100.695450,-181.001841,100.728376,-108.377467,0.032927,72.624374,motion control,
1766519568.981030,-16.399222,83.432007,82.450718,-158.167080,82.475418,-89.972682,0.024700,68.194397,motion control,
1766519569.093292,-10.000000,68.298340,67.488632,-127.254185,67.509506,-71.427594,0.020874,55.826591,motion control,
1766519569.205556,-10.000000,57.220459,56.618720,-90.529621,56.633743,-54.099432,0.015022,36.430189,motion control,
1766519569.317816,-10.000000,47.827148,47.258219,-83.009123,47.272488,-40.000000,0.014269,43.009123,motion control,
1766519569.430096,-10.000000,38.964844,38.413782,-78.264933,38.425836,-40.000000,0.012054,38.264933,motion control,
1766519569.542436,-10.000000,30.203247,29.640864,-76.544851,29.654186,-40.000000,0.013322,36.544851,motion control,
1766519569.654689,-10.000000,21.826172,21.256396,-75.186766,21.268873,-40.000000,0.012476,35.186766,motion control,
1766519569.766931,-10.000000,13.302612,12.721817,-74.991687,12.733439,-40.000000,0.011622,34.991687,motion control,
1766519569.879127,0.000000,4.962158,4.374369,-74.755595,4.383192,-74.755595,0.008822,0.000000,motion control,
1766519569.991292,0.000000,-0.091553,-0.228733,-17.169200,-0.227615,-17.169200,0.001118,0.000000,motion control,
1766519570.103525,0.000000,-0.100708,-0.103198,-0.305088,-0.103178,-0.305088,0.000020,0.000000,motion control,
1766519570.215770,0.000000,-0.018311,-0.008406,1.183634,-0.008452,1.183634,-0.000046,0.000000,ready,
1766519570.327990,0.000000,-0.137329,-0.145748,-0.990822,-0.145709,-0.990822,0.000039,0.000000,ready,
1766519570.440188,0.000000,-0.137329,-0.141953,-0.533562,-0.141929,-0.533562,0.000023,0.000000,ready,
1766519570.552418,0.000000,-0.082397,-0.075662,0.763160,-0.075695,0.763160,-0.000033,0.000000,ready,
1766519570.664666,0.000000,-0.137329,-0.143201,-0.648593,-0.143174,-0.648593,0.000027,0.000000,ready,
1766519570.776894,0.000000,-0.091553,-0.086657,0.533444,-0.086680,0.533444,-0.000023,0.000000,ready,
1766519570.889118,0.000000,-0.119019,-0.121158,-0.228503,-0.121149,-0.228503,0.000009,0.000000,ready,
1766519571.001357,0.000000,-0.119019,-0.121566,-0.266847,-0.121554,-0.266847,0.000012,0.000000,ready,
1766519571.113581,0.000000,-0.109863,-0.109863,-0.000015,-0.109863,-0.000015,0.000000,0.000000,ready,
1766519571.225800,0.000000,-0.109863,-0.110240,-0.038000,-0.110238,-0.038000,0.000002,0.000000,ready,
