Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1766519539.080501,10.000000,-0.521851,-0.515886,0.762549,-0.516030,40.000000,-0.000144,39.237451,motion control,
1766519539.192701,10.000000,-0.476074,-0.470288,0.724291,-0.470406,40.113898,-0.000118,39.389607,motion control,
1766519539.304980,10.000000,-0.421143,-0.415218,0.724071,-0.415337,40.250945,-0.000120,39.526875,motion control,
1766519539.417198,11.287232,-0.402832,-0.401232,0.190834,-0.401260,40.285903,-0.000029,40.095068,motion control,
1766519539.529424,15.770874,-0.192261,-0.171064,2.478304,-0.171443,40.852385,-0.000379,38.374082,motion control,
1766519539.641680,20.370133,1.446533,1.685155,27.333766,1.681108,45.160023,-0.004047,17.826257,motion control,
1766519539.753946,25.799914,18.246460,19.817957,174.743775,19.789293,75.240047,-0.028664,-99.503728,motion control,
1766519539.866145,27.039154,34.020996,35.198187,129.531881,35.178607,93.482231,-0.019580,-36.049650,motion control,
1766519539.978397,29.629859,49.905395,51.238576,142.770838,51.214306,109.298066,-0.024270,-33.472773,motion control,
1766519540.090687,31.971899,66.284180,67.740341,152.510396,67.711070,123.472345,-0.029271,-29.038051,motion control,
1766519540.202925,33.646523,84.677124,86.237140,160.576795,86.213213,137.643919,-0.023928,-22.932876,motion control,
1766519540.315238,37.087654,101.449585,102.950368,149.871212,102.922819,149.290890,-0.027549,-0.580322,motion control,
1766519540.427446,41.094577,119.796753,121.483592,166.685098,121.457442,161.228702,-0.026149,-5.456396,motion control,
1766519540.539806,45.280917,138.803100,140.603127,172.516922,140.570510,172.676889,-0.032617,0.159966,motion control,
1766519540.652121,50.550941,158.386230,160.249004,174.254265,160.221792,183.705102,-0.027212,9.450837,motion control,
1766519540.764476,58.050423,178.546142,180.573574,184.293404,180.544443,194.453322,-0.029132,10.159919,motion control,
1766519540.876698,65.322891,200.170898,202.356213,194.716200,202.321767,205.347411,-0.034447,10.631212,motion control,
1766519540.988988,72.958357,222.473144,224.778250,202.181354,224.748508,215.992842,-0.029742,13.811487,motion control,
1766519541.101281,81.028596,244.601440,246.865340,194.376426,246.831695,225.985718,-0.033645,31.609293,motion control,
1766519541.213599,86.164950,266.180420,268.482472,192.867095,268.448720,227.838223,-0.033752,34.971128,motion control,
1766519541.325834,84.394961,287.466430,289.777141,190.828995,289.744156,218.291477,-0.032985,27.462482,motion control,
1766519541.438112,81.801351,308.157348,310.394751,181.740410,310.367670,208.629974,-0.027081,26.889564,motion control,
1766519541.550478,78.819485,328.262329,330.520348,178.839767,330.494807,198.748682,-0.025541,19.908915,motion control,
1766519541.662899,74.927158,347.937011,350.203261,174.381138,350.175198,188.586745,-0.028064,14.205607,motion control,
1766519541.775292,70.481592,367.144775,369.401241,169.201805,369.366911,178.119673,-0.034330,8.917868,motion control,
1766519541.887512,67.214137,385.620117,387.825179,163.338239,387.800489,167.451193,-0.024690,4.112955,motion control,
1766519541.999860,62.934802,403.729248,405.923643,159.475364,405.895735,156.271728,-0.027908,-3.203635,motion control,
1766519542.112186,57.658478,421.380615,423.585173,156.687308,423.559957,144.526844,-0.025216,-12.160464,motion control,
1766519542.224483,51.588004,438.189697,440.318896,148.480536,440.293196,132.443803,-0.025701,-16.036734,motion control,
1766519542.336720,45.378691,453.634643,455.601818,135.396528,455.580674,120.348931,-0.021144,-15.047597,motion control,
1766519542.449017,39.003364,467.797851,469.598226,122.207458,469.575966,108.096285,-0.022260,-14.111174,motion control,
1766519542.561269,32.268404,480.541992,482.209948,111.613232,482.191747,95.716512,-0.018202,-15.896720,motion control,
1766519542.673513,24.765017,491.647338,493.087156,95.206348,493.071244,83.580806,-0.015912,-11.625543,motion control,
1766519542.785888,17.754749,501.068115,502.293720,79.123253,502.281061,71.720204,-0.012658,-7.403049,motion control,
1766519542.898135,11.516215,508.721923,509.709220,62.972698,509.699131,60.499371,-0.010089,-2.473327,motion control,
1766519543.010463,10.000000,513.922119,514.604790,42.853961,514.598486,51.771641,-0.006304,8.917680,motion control,
1766519543.122828,10.268601,517.657470,518.169342,31.465367,518.163648,44.353922,-0.005694,12.888556,motion control,
1766519543.235086,10.709329,521.722412,521.736711,31.783543,521.731975,40.000000,-0.004736,8.216457,motion control,
1766519543.347380,11.677353,525.210571,525.232174,30.998959,525.227340,40.000000,-0.004834,9.001041,motion control,
1766519543.459640,12.401954,529.183960,529.216647,36.765735,529.210327,40.000000,-0.006320,3.234265,motion control,
1766519543.571898,12.732894,533.367919,533.409849,37.910386,533.404128,40.000000,-0.005721,2.089614,motion control,
1766519543.684213,12.921441,537.707519,537.759686,39.191438,537.753099,40.000000,-0.006587,0.808562,motion control,
1766519543.796476,13.127168,541.882324,541.940337,36.601490,541.934552,40.000000,-0.005786,3.398510,motion control,
1766519543.908750,13.406709,546.121215,546.187566,37.571821,546.181179,40.000000,-0.006387,2.428179,motion control,
1766519544.021034,13.566342,550.469970,550.547336,38.374545,550.541426,40.000000,-0.005910,1.625455,motion control,
1766519544.133408,13.803694,554.736328,554.825526,38.613188,554.819809,40.000000,-0.005717,1.386812,motion control,
1766519544.245726,13.991388,559.011840,559.110822,38.189783,559.103839,40.000000,-0.006984,1.810217,motion control,
1766519544.358088,14.119666,563.314819,563.423042,37.227843,563.416749,40.000000,-0.006293,2.772157,motion control,
