Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1766519631.193259,-28.833333,60.699463,60.699463,0.000000,60.699463,-50.000000,0.000000,-50.000000,motion control,
1766519631.305522,-28.822659,60.699463,60.698608,-0.152485,60.698619,-50.000000,0.000011,-49.847515,motion control,
1766519631.417914,-25.426531,56.332397,56.044027,-48.668608,56.047775,-50.000000,0.003748,-1.331392,motion control,
1766519631.530309,-30.888118,50.445557,50.105730,-53.650698,50.110130,-57.778889,0.004400,-4.128191,motion control,
1766519631.642935,-37.277945,43.835449,43.420671,-60.532515,43.425405,-65.887090,0.004734,-5.354575,motion control,
1766519631.755349,-44.572473,36.410522,35.922049,-67.439301,35.927387,-73.931126,0.005338,-6.491825,motion control,
1766519631.867632,-45.326991,28.198242,27.646716,-74.060142,27.652190,-75.000000,0.005474,-0.939858,motion control,
1766519631.979917,-45.213595,19.692993,19.111510,-75.477889,19.117862,-75.000000,0.006352,0.477889,motion control,
1766519632.092161,-45.131182,11.096191,10.496613,-76.174108,10.502952,-75.000000,0.006338,1.174108,motion control,
1766519632.204442,-45.104248,2.536011,1.923718,-76.147199,1.930200,-75.000000,0.006481,1.147199,motion control,
1766519632.316772,-44.990967,-6.161499,-6.805398,-76.973993,-6.798241,-75.000000,0.007157,1.973993,motion control,
1766519632.429041,-44.917121,-14.877319,-15.536698,-77.174752,-15.531068,-75.000000,0.005630,2.174752,motion control,
1766519632.541345,-44.766646,-23.574829,-24.256271,-77.199949,-24.249939,-74.916681,0.006332,2.283268,motion control,
1766519632.653534,-35.888134,-32.171631,-32.852069,-75.772287,-32.845692,-65.750637,0.006377,10.021650,motion control,
1766519632.765804,-28.269563,-40.008545,-40.627614,-67.525647,-40.621206,-56.185577,0.006408,11.340070,motion control,
1766519632.878019,-24.037184,-46.939087,-47.484774,-58.993693,-47.480175,-50.000000,0.004599,8.993693,motion control,
1766519632.990313,-24.234140,-53.128052,-53.647798,-54.089625,-53.643091,-50.000000,0.004707,4.089625,motion control,
1766519633.102774,0.000000,-58.868408,-59.360098,-49.115177,-59.357100,-49.115177,0.002998,0.000000,motion control,
1766519633.215333,0.000000,-59.252930,-59.254134,-0.114433,-59.254126,-0.114433,0.000008,0.000000,motion control,
1766519633.327836,0.000000,-59.252930,-59.253763,-0.076103,-59.253748,-0.076103,0.000015,0.000000,monitor,
1766519633.439984,0.000000,-59.252930,-59.254613,-0.152565,-59.254606,-0.152565,0.000007,0.000000,ready,
1766519633.552273,0.000000,-59.252930,-59.253361,-0.038196,-59.253359,-0.038196,0.000002,0.000000,ready,
1766519633.664691,0.000000,-59.252930,-59.253822,-0.076347,-59.253817,-0.076347,0.000005,0.000000,ready,
1766519633.777101,0.000000,-59.234619,-59.230951,0.305072,-59.230963,0.305072,-0.000013,0.000000,ready,
1766519633.889315,0.000000,-59.252930,-59.252930,0.000000,-59.252930,0.000000,0.000000,0.000000,ready,
1766519634.001518,0.000000,-59.252930,-59.256681,-0.304878,-59.256669,-0.304878,0.000013,0.000000,ready,
1766519634.114099,0.000000,-59.252930,-59.253911,-0.076312,-59.253907,-0.076312,0.000004,0.000000,ready,
1766519634.226378,0.000000,-59.234619,-59.230623,0.305033,-59.230635,0.305033,-0.000012,0.000000,ready,
1766519634.338602,0.000000,-59.252930,-59.252930,0.000000,-59.252930,0.000000,0.000000,0.000000,ready,
1766519634.450816,0.000000,-59.252930,-59.254978,-0.152331,-59.254969,-0.152331,0.000010,0.000000,ready,
