Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1766519608.750849,28.836001,-59.600830,-59.601049,-0.038106,-59.601045,50.000000,0.000004,50.038106,motion control,
1766519608.863607,28.819994,-59.591675,-59.590447,0.190559,-59.590460,50.000000,-0.000013,49.809441,motion control,
1766519608.975941,25.486254,-55.078125,-54.757657,47.815419,-54.761339,50.000000,-0.003682,2.184581,motion control,
1766519609.088447,31.026707,-49.301147,-48.918835,53.047947,-48.923135,57.893751,-0.004300,4.845804,motion control,
1766519609.200849,37.309716,-42.828369,-42.378539,59.486235,-42.383418,65.822824,-0.004879,6.336588,motion control,
1766519609.313091,44.469560,-35.540771,-35.027811,66.281945,-35.033058,73.723796,-0.005247,7.441852,motion control,
1766519609.425412,45.455324,-27.465820,-26.880742,73.188064,-26.886902,75.000000,-0.006160,1.811936,motion control,
1766519609.537823,45.308384,-19.015503,-18.388969,75.323198,-18.394913,75.000000,-0.005944,-0.323198,motion control,
1766519609.650131,45.275289,-10.519409,-9.870906,75.530906,-9.876867,75.000000,-0.005961,-0.530906,motion control,
1766519609.762549,45.168144,-1.913452,-1.227981,76.597198,-1.234263,75.000000,-0.006282,-1.597198,motion control,
1766519609.874889,45.121966,6.710815,7.420120,76.607181,7.413983,75.000000,-0.006137,-1.607181,motion control,
1766519609.987235,45.062125,15.353394,16.085792,76.818643,16.079638,75.000000,-0.006154,-1.818643,motion control,
1766519610.099627,44.429606,23.968506,24.727773,76.716976,24.721170,74.443431,-0.006603,-2.273544,motion control,
1766519610.212088,35.605123,32.528686,33.305154,75.473075,33.299053,65.231449,-0.006100,-10.241626,motion control,
1766519610.324379,27.873558,40.393066,41.111298,68.040262,41.105994,55.534683,-0.005305,-12.505580,motion control,
1766519610.436611,24.131436,47.314453,47.947597,59.210615,47.942670,50.000000,-0.004927,-9.210615,motion control,
1766519610.548872,24.367230,53.485107,54.070920,53.768848,54.066625,50.000000,-0.004295,-3.768848,motion control,
1766519610.661137,0.000000,59.307861,59.876695,51.067279,59.873737,51.067279,-0.002959,0.000000,motion control,
1766519610.773479,0.000000,60.671997,60.677653,0.495524,60.677624,0.495524,-0.000029,0.000000,motion control,
1766519610.886040,0.000000,60.671997,60.674719,0.228849,60.674678,0.228849,-0.000041,0.000000,monitor,
1766519610.998195,0.000000,60.671997,60.671997,0.000000,60.671997,0.000000,0.000000,0.000000,ready,
1766519611.110417,0.000000,60.671997,60.671530,-0.038387,60.671531,-0.038387,0.000001,0.000000,ready,
1766519611.222845,0.000000,60.681152,60.682590,0.114356,60.682585,0.114356,-0.000005,0.000000,ready,
1766519611.335294,0.000000,60.681152,60.679673,-0.114374,60.679678,-0.114374,0.000005,0.000000,ready,
1766519611.447637,0.000000,60.690308,60.691320,0.076283,60.691316,0.076283,-0.000003,0.000000,ready,
1766519611.560056,0.000000,60.690308,60.690308,0.000000,60.690308,0.000000,0.000000,0.000000,ready,
1766519611.672511,0.000000,60.699463,60.700531,0.076195,60.700527,0.076195,-0.000003,0.000000,ready,
1766519611.784849,0.000000,60.699463,60.700007,0.038089,60.700006,0.038089,-0.000002,0.000000,ready,
1766519611.897173,0.000000,60.699463,60.700577,0.076306,60.700574,0.076306,-0.000003,0.000000,ready,
