Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1766519690.759019,-28.801463,10.720825,10.717728,-0.455283,10.717765,-50.000000,0.000036,-49.544717,motion control,
1766519690.871217,-28.846675,10.757446,10.758770,0.190599,10.717765,-50.000000,-0.041005,-50.190599,motion control,
1766519690.983426,-25.592781,6.884766,6.555480,-46.293611,6.559133,-50.000000,0.003653,-3.706389,motion control,
1766519691.095614,0.000000,1.272583,0.921463,-48.679537,0.924284,-48.679537,0.002820,0.000000,motion control,
1766519691.207828,0.000000,0.961304,0.961020,-0.038180,0.961022,-0.038180,0.000002,0.000000,motion control,
1766519691.320140,0.000000,0.961304,0.962161,0.113670,0.962144,0.113670,-0.000017,0.000000,monitor,
1766519691.432227,0.000000,0.961304,0.961886,0.076181,0.734541,0.000000,-0.227345,-0.076181,monitor,
1766519691.544419,0.000000,0.961304,0.961005,-0.038037,0.734541,0.000000,-0.226464,0.038037,monitor,
1766519691.656641,0.000000,0.961304,0.961911,0.076067,0.734541,0.000000,-0.227369,-0.076067,monitor,
1766519691.768890,0.000000,0.961304,0.961615,0.038161,0.961613,0.038161,-0.000002,0.000000,ready,
1766519691.881150,0.000000,0.961304,0.962593,0.152664,0.962586,0.152664,-0.000007,0.000000,ready,
1766519691.993402,0.000000,0.961304,0.962289,0.114331,0.962284,0.114331,-0.000005,0.000000,ready,
1766519692.105672,0.000000,0.952148,0.950804,-0.152523,0.950811,-0.152523,0.000006,0.000000,ready,
1766519692.218026,0.000000,0.952148,0.950757,-0.152511,0.950763,-0.152511,0.000006,0.000000,ready,
1766519692.330316,0.000000,0.961304,0.962370,0.114340,0.962365,0.114340,-0.000005,0.000000,ready,
1766519692.442638,0.000000,0.952148,0.951056,-0.113717,0.951061,-0.113717,0.000004,0.000000,ready,
1766519692.554853,0.000000,0.961304,0.961677,0.038170,0.961676,0.038170,-0.000001,0.000000,ready,
1766519692.667049,0.000000,0.961304,0.962063,0.076214,0.962060,0.076214,-0.000003,0.000000,ready,
1766519692.779287,0.000000,0.961304,0.961690,0.038071,0.961688,0.038071,-0.000002,0.000000,ready,
