Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1766519498.977154,-26.250000,0.085575,0.085575,0.000000,0.085575,-0.040000,0.000000,-0.040000,motion control,
1766519499.089336,-26.250000,0.085488,0.085486,-0.000451,0.085486,-0.040000,0.000000,-0.039549,motion control,
1766519499.201733,-26.250000,0.082647,0.082474,-0.035410,0.082477,-0.040000,0.000003,-0.004590,motion control,
1766519499.314057,-26.250000,0.077997,0.077783,-0.041620,0.077786,-0.040000,0.000002,0.001620,motion control,
1766519499.426326,-28.317324,0.073174,0.072943,-0.043243,0.072945,-0.042756,0.000002,0.000486,motion control,
1766519499.538570,-35.457554,0.068072,0.067815,-0.046615,0.067818,-0.050458,0.000003,-0.003843,motion control,
1766519499.650832,-42.907780,0.062346,0.062047,-0.052156,0.062051,-0.057908,0.000004,-0.005752,motion control,
1766519499.763035,-50.269833,0.055973,0.055633,-0.057923,0.055636,-0.065202,0.000003,-0.007279,motion control,
1766519499.875267,-59.824025,0.048977,0.048591,-0.063735,0.048595,-0.072368,0.000004,-0.008633,motion control,
1766519499.987511,-50.919801,0.041786,0.041390,-0.063315,0.041394,-0.065690,0.000004,-0.002375,motion control,
1766519500.099812,-42.716231,0.034768,0.034362,-0.062591,0.034365,-0.057716,0.000004,0.004875,motion control,
1766519500.212071,-33.643341,0.027857,0.027470,-0.060494,0.027473,-0.048643,0.000003,0.011850,motion control,
1766519500.324293,-26.250000,0.021507,0.021130,-0.054690,0.021133,-0.040000,0.000003,0.014690,motion control,
1766519500.436571,-26.250000,0.015952,0.015608,-0.048424,0.015610,-0.040000,0.000003,0.008424,motion control,
1766519500.548796,-26.250000,0.010592,0.010246,-0.047427,0.010249,-0.040000,0.000003,0.007427,motion control,
1766519500.661074,-26.250000,0.005274,0.004920,-0.047247,0.004923,-0.040000,0.000003,0.007247,motion control,
1766519500.773313,0.000000,0.000129,-0.000217,-0.045001,-0.000214,-0.045001,0.000003,0.000000,motion control,
1766519500.885595,0.000000,-0.000926,-0.000921,0.000537,-0.000922,0.000537,-0.000000,0.000000,motion control,
1766519500.997895,0.000000,-0.000947,-0.000951,-0.000448,-0.000951,-0.000448,0.000000,0.000000,motion control,
1766519501.110487,0.000000,-0.000926,-0.000926,0.000000,-0.000926,0.000000,0.000000,0.000000,ready,
1766519501.222804,0.000000,-0.000947,-0.000951,-0.000448,-0.000951,-0.000448,0.000000,0.000000,ready,
1766519501.335094,0.000000,-0.000926,-0.000923,0.000269,-0.000923,0.000269,-0.000000,0.000000,ready,
1766519501.447398,0.000000,-0.000926,-0.000926,0.000000,-0.000926,0.000000,0.000000,0.000000,ready,
1766519501.559757,0.000000,-0.000926,-0.000925,0.000090,-0.000925,0.000090,-0.000000,0.000000,ready,
1766519501.671976,0.000000,-0.000926,-0.000924,0.000179,-0.000924,0.000179,-0.000000,0.000000,ready,
1766519501.784242,0.000000,-0.000926,-0.000925,0.000090,-0.000925,0.000090,-0.000000,0.000000,ready,
1766519501.896462,0.000000,-0.000947,-0.000948,-0.000090,-0.000948,-0.000090,0.000000,0.000000,ready,
1766519502.008747,0.000000,-0.000947,-0.000951,-0.000358,-0.000951,-0.000358,0.000000,0.000000,ready,
1766519502.121261,0.000000,-0.000926,-0.000925,0.000090,-0.000925,0.000090,-0.000000,0.000000,ready,
