Time_s,Cmd,LastPos,EstPos,EstVel,TgtPos,TgtVel,ErrPos,ErrVel,State,AxisError
1766519477.169783,35.000000,0.002045,0.002047,0.000090,0.002047,0.050000,-0.000000,0.049910,motion control,
1766519477.281904,35.000000,0.002045,0.002062,0.001069,0.002062,0.050000,-0.000000,0.048931,motion control,
1766519477.394498,35.000000,0.005490,0.006091,0.037571,0.006088,0.050000,-0.000002,0.012429,motion control,
1766519477.506770,35.000000,0.011518,0.011528,0.048297,0.011525,0.050000,-0.000003,0.001703,motion control,
1766519477.618941,40.103779,0.016103,0.016881,0.047615,0.016878,0.055104,-0.000003,0.007489,motion control,
1766519477.731226,47.101088,0.022712,0.022739,0.052792,0.022736,0.062101,-0.000003,0.009309,motion control,
1766519477.843925,55.475952,0.029235,0.029305,0.059571,0.029302,0.069107,-0.000003,0.009536,motion control,
1766519477.956193,64.536375,0.036253,0.036344,0.063685,0.036341,0.075902,-0.000004,0.012217,motion control,
1766519478.068469,61.864235,0.043745,0.043854,0.067226,0.043850,0.073898,-0.000004,0.006672,motion control,
1766519478.180880,51.768789,0.051302,0.051440,0.067669,0.051434,0.066327,-0.000006,-0.001343,motion control,
1766519478.293308,43.542148,0.058234,0.058381,0.061302,0.058377,0.058542,-0.000003,-0.002760,motion control,
1766519478.405753,35.339504,0.064606,0.064761,0.055935,0.064757,0.050340,-0.000004,-0.005595,motion control,
1766519478.518139,35.000000,0.070483,0.070643,0.051379,0.070640,0.050000,-0.000003,-0.001379,motion control,
1766519478.630823,35.000000,0.075973,0.076156,0.048999,0.076153,0.050000,-0.000003,0.001001,motion control,
1766519478.727163,0.000000,0.080602,0.080797,0.048435,0.080785,0.050000,-0.000012,0.001565,motion control,position limit
1766519478.839190,0.000000,0.085531,0.085687,0.038635,0.085689,0.039767,0.000003,0.001131,ready,
1766519478.951385,0.000000,0.085575,0.085575,0.000179,0.085575,0.000179,-0.000000,0.000000,ready,
1766519479.063667,0.000000,0.085575,0.085575,0.000090,0.085575,0.000090,-0.000000,0.000000,ready,
1766519479.175853,0.000000,0.085575,0.085575,0.000000,0.085575,0.000000,0.000000,0.000000,ready,
1766519479.288075,0.000000,0.085596,0.085598,0.000448,0.085598,0.000448,-0.000000,0.000000,ready,
1766519479.400360,0.000000,0.085575,0.085574,-0.000090,0.085574,-0.000090,0.000000,0.000000,ready,
1766519479.512620,0.000000,0.085596,0.085598,0.000448,0.085598,0.000448,-0.000000,0.000000,ready,
1766519479.625005,0.000000,0.085575,0.085575,0.000000,0.085575,0.000000,0.000000,0.000000,ready,
1766519479.737227,0.000000,0.085575,0.085575,0.000000,0.085575,0.000000,0.000000,0.000000,ready,
