,NAME,MEAN,MAX,MIN,STDV,VAL
15,LiftLargeStepNegDir_Command,-19.85,-19.85,-19.85,0.00,[-19.85]
16,LiftLargeStepNegDir_CommandDelayTime,0.22,0.22,0.22,0.00,[0.22]
17,LiftLargeStepNegDir_CommandStatus,_,_,_,_,['OK ']
18,LiftLargeStepNegDir_CommandSystemTime,1766519370.00,1766519370.00,1766519370.00,0.00,[1766519370.0]
12,LiftLargeStepNegDir_MaxVinst,-211.05,-211.05,-211.05,0.00,[-211.048044]
13,LiftLargeStepNegDir_MaxVinstStatus,_,_,_,_,['OK ']
14,LiftLargeStepNegDir_MaxVinstSystemTime,2.58,2.58,2.58,0.00,[2.58]
1,LiftLargeStepNegDir_Overshoot,-0.76,-0.76,-0.76,0.00,[-0.76]
22,LiftLargeStepPosDir_Command,18.00,18.00,18.00,0.00,[18.0]
23,LiftLargeStepPosDir_CommandDelayTime,0.11,0.11,0.11,0.00,[0.11]
24,LiftLargeStepPosDir_CommandStatus,_,_,_,_,['OK ']
25,LiftLargeStepPosDir_CommandSystemTime,1766519339.00,1766519339.00,1766519339.00,0.00,[1766519339.0]
19,LiftLargeStepPosDir_MaxVinst,198.82,198.82,198.82,0.00,[198.821791]
20,LiftLargeStepPosDir_MaxVinstStatus,_,_,_,_,['OK ']
21,LiftLargeStepPosDir_MaxVinstSystemTime,2.13,2.13,2.13,0.00,[2.13]
0,LiftLargeStepPosDir_Overshoot,0.54,0.54,0.54,0.00,[0.54]
29,LiftSmallStepNegDir_Command,-19.69,-19.69,-19.69,0.00,[-19.69]
30,LiftSmallStepNegDir_CommandDelayTime,0.11,0.11,0.11,0.00,[0.11]
31,LiftSmallStepNegDir_CommandStatus,_,_,_,_,['OK ']
32,LiftSmallStepNegDir_CommandSystemTime,1766519438.00,1766519438.00,1766519438.00,0.00,[1766519438.0]
26,LiftSmallStepNegDir_MaxVinst,-28.56,-28.56,-28.56,0.00,[-28.563071]
27,LiftSmallStepNegDir_MaxVinstStatus,_,_,_,_,['OK ']
28,LiftSmallStepNegDir_MaxVinstSystemTime,0.56,0.56,0.56,0.00,[0.56]
3,LiftSmallStepNegDir_Overshoot,0.22,0.22,0.22,0.00,[0.22]
2,LiftSmallStepPosDirOvershoot,0.43,0.43,0.43,0.00,[0.43]
36,LiftSmallStepPosDir_Command,18.00,18.00,18.00,0.00,[18.0]
37,LiftSmallStepPosDir_CommandDelayTime,0.11,0.11,0.11,0.00,[0.11]
38,LiftSmallStepPosDir_CommandStatus,_,_,_,_,['OK ']
39,LiftSmallStepPosDir_CommandSystemTime,1766519416.00,1766519416.00,1766519416.00,0.00,[1766519416.0]
33,LiftSmallStepPosDir_MaxVinst,31.69,31.69,31.69,0.00,[31.688183]
34,LiftSmallStepPosDir_MaxVinstStatus,_,_,_,_,['OK ']
35,LiftSmallStepPosDir_MaxVinstSystemTime,0.45,0.45,0.45,0.00,[0.45]
57,ReachLargeStepNegDir_Command,-10.00,-10.00,-10.00,0.00,[-10.0]
58,ReachLargeStepNegDir_CommandDelayTime,0.22,0.22,0.22,0.00,[0.22]
59,ReachLargeStepNegDir_CommandStatus,_,_,_,_,['OK ']
60,ReachLargeStepNegDir_CommandSystemTime,1766519565.00,1766519565.00,1766519565.00,0.00,[1766519565.0]
54,ReachLargeStepNegDir_MaxVinst,-192.99,-192.99,-192.99,0.00,[-192.986502]
55,ReachLargeStepNegDir_MaxVinstStatus,_,_,_,_,['OK ']
56,ReachLargeStepNegDir_MaxVinstSystemTime,3.59,3.59,3.59,0.00,[3.59]
7,ReachLargeStepNegDir_Overshoot,0.11,0.11,0.11,0.00,[0.11]
64,ReachLargeStepPosDir_Command,15.77,15.77,15.77,0.00,[15.77]
65,ReachLargeStepPosDir_CommandDelayTime,0.45,0.45,0.45,0.00,[0.45]
66,ReachLargeStepPosDir_CommandStatus,_,_,_,_,['OK ']
67,ReachLargeStepPosDir_CommandSystemTime,1766519540.00,1766519540.00,1766519540.00,0.00,[1766519540.0]
61,ReachLargeStepPosDir_MaxVinst,192.87,192.87,192.87,0.00,[192.867095]
62,ReachLargeStepPosDir_MaxVinstStatus,_,_,_,_,['OK ']
63,ReachLargeStepPosDir_MaxVinstSystemTime,2.13,2.13,2.13,0.00,[2.13]
6,ReachLargeStepPosDir_Overshoot,1.92,1.92,1.92,0.00,[1.92]
71,SideshiftLargeStepNegDir_Command,-28.82,-28.82,-28.82,0.00,[-28.82]
72,SideshiftLargeStepNegDir_CommandDelayTime,0.11,0.11,0.11,0.00,[0.11]
73,SideshiftLargeStepNegDir_CommandStatus,_,_,_,_,['OK ']
74,SideshiftLargeStepNegDir_CommandSystemTime,1766519631.00,1766519631.00,1766519631.00,0.00,[1766519631.0]
68,SideshiftLargeStepNegDir_MaxVinst,-76.15,-76.15,-76.15,0.00,[-76.147199]
69,SideshiftLargeStepNegDir_MaxVinstStatus,_,_,_,_,['OK ']
70,SideshiftLargeStepNegDir_MaxVinstSystemTime,1.24,1.24,1.24,0.00,[1.24]
9,SideshiftLargeStepNegDir_Overshoot,-0.75,-0.75,-0.75,0.00,[-0.75]
78,SideshiftLargeStepPosDir_Command,28.82,28.82,28.82,0.00,[28.82]
79,SideshiftLargeStepPosDir_CommandDelayTime,0.11,0.11,0.11,0.00,[0.11]
80,SideshiftLargeStepPosDir_CommandStatus,_,_,_,_,['OK ']
81,SideshiftLargeStepPosDir_CommandSystemTime,1766519609.00,1766519609.00,1766519609.00,0.00,[1766519609.0]
75,SideshiftLargeStepPosDir_MaxVinst,76.82,76.82,76.82,0.00,[76.818643]
76,SideshiftLargeStepPosDir_MaxVinstStatus,_,_,_,_,['OK ']
77,SideshiftLargeStepPosDir_MaxVinstSystemTime,1.24,1.24,1.24,0.00,[1.24]
8,SideshiftLargeStepPosDir_Overshoot,0.70,0.70,0.70,0.00,[0.7]
85,SideshiftSmallStepNegDir_Command,-28.85,-28.85,-28.85,0.00,[-28.85]
86,SideshiftSmallStepNegDir_CommandDelayTime,0.11,0.11,0.11,0.00,[0.11]
87,SideshiftSmallStepNegDir_CommandStatus,_,_,_,_,['OK ']
88,SideshiftSmallStepNegDir_CommandSystemTime,1766519691.00,1766519691.00,1766519691.00,0.00,[1766519691.0]
82,SideshiftSmallStepNegDir_MaxVinst,-48.68,-48.68,-48.68,0.00,[-48.679537]
83,SideshiftSmallStepNegDir_MaxVinstStatus,_,_,_,_,['OK ']
84,SideshiftSmallStepNegDir_MaxVinstSystemTime,0.34,0.34,0.34,0.00,[0.34]
11,SideshiftSmallStepNegDir_Overshoot,-0.22,-0.22,-0.22,0.00,[-0.22]
92,SideshiftSmallStepPosDir_Command,28.83,28.83,28.83,0.00,[28.83]
93,SideshiftSmallStepPosDir_CommandDelayTime,0.11,0.11,0.11,0.00,[0.11]
94,SideshiftSmallStepPosDir_CommandStatus,_,_,_,_,['OK ']
95,SideshiftSmallStepPosDir_CommandSystemTime,1766519670.00,1766519670.00,1766519670.00,0.00,[1766519670.0]
89,SideshiftSmallStepPosDir_MaxVinst,48.27,48.27,48.27,0.00,[48.273672]
90,SideshiftSmallStepPosDir_MaxVinstStatus,_,_,_,_,['OK ']
